Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
Nikola Milutinov,SA,"C,Flx",509,SAC,SAC,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Johnson,(N/A),"SF,PF,Flx",510,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Zylan Cheatham,NO,"SF,Flx",511,FA,FA,,0,0,1%,0.20%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Hands,(N/A),"PG,Flx",512,FA,FA,,0,0,1%,0.20%,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevon Bluiett,(N/A),"PG,Flx",513,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Crawford,(N/A),"SG,SF,Flx",514,FA,FA,,0,0,1%,0.20%,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry Ellenson,(N/A),"PF,Flx",515,FA,FA,,0,0,1%,0.20%,0,0,0,0,0,0,0,0,0,0,0,0,0
Devontae Cacok,LAL,"PF,Flx",516,FA,FA,,0,0,1%,0.20%,0,0,0,0,0,0,0,0,0,0,0,0,0
Issuf Sanon,WAS,"PG,Flx",517,BOS,BOS,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Young,DEN,"SG,SF,Flx",518,FA,FA,,0,0,1%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetrius Jackson,(N/A),"PG,Flx",519,FA,FA,,0,0,1%,0.30%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrone Wallace,(N/A),"PG,SG,Flx",520,MIA,MIA,,0,0,1%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Naz Mitrou-Long,IND,"PG,Flx",521,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Adams,(N/A),"PG,Flx",522,FA,FA,,0,0,1%,0.20%,0,0,0,0,0,0,0,0,0,0,0,0,0
Shamorie Ponds,(N/A),"PG,Flx",523,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Anderson,(N/A),"SF,Flx",524,FA,FA,,0,0,1%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerian Grant,(N/A),"PG,SG,Flx",525,FA,FA,,0,0,1%,0.20%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nene Hilario,(N/A),"PF,C,Flx",526,FA,FA,,0,0,1%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
