Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FGM,FGA,3PTM,FTM,FTA,PTS,OREB,DREB,AST,ST,BLK,TO
Brandon McCoy,(N/A),"C,Flx",651,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Salah Mejri,(N/A),"C,Flx",652,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles Plumlee,(N/A),"PF,C,Flx",653,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Pondexter,(N/A),"SG,SF,Flx",654,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Sampson,(N/A),"PG,Flx",655,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Simi Shittu,(N/A),"C,Flx",656,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Simon,(N/A),"SG,Flx",657,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Taylor,(N/A),"PG,Flx",658,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Welsh,(N/A),"C,Flx",659,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Williams,(N/A),"SG,Flx",660,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Zeller,(N/A),"PF,C,Flx",661,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Furkan Aldemir,PHI,"PF,Flx",662,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamel Artis,SAC,"SF,Flx",663,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Bairstow,DET,"PF,C,Flx",664,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Renaldo Balkman,DAL,"SF,PF,Flx",665,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerrelle Benimon,UTA,"PF,Flx",666,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Bentil,DAL,"SF,PF,Flx",667,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Sim Bhullar,SAC,"C,Flx",668,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Bolomboy,MIL,"PF,Flx",669,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Omri Casspi,MEM,"SF,PF,Flx",670,NYK,NYK,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Gian Clavell,DAL,"PG,Flx",671,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Crawford,TOR,"SG,Flx",672,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Davis,OKC,"C,Flx",673,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Demps,SAC,"SG,Flx",674,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiny Gallon,MIL,"PF,Flx",675,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Olivier Hanlan,SA,"PG,Flx",676,ATL,ATL,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Udonis Haslem,MIA,"PF,Flx",677,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike James,NO,"PG,Flx",678,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brice Johnson,MEM,"PF,Flx",679,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinanu Onuaku,POR,"PF,C,Flx",680,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Radicevic,DEN,"PG,Flx",681,DEN,DEN,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Willie Reed,CHI,"PF,C,Flx",682,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Reynolds,MIL,"SF,Flx",683,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Malachi Richardson,PHI,"SG,Flx",684,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Strus,CHI,"SG,Flx",685,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jameel Warney,DAL,"SF,Flx",686,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Julian Washburn,GS,"SF,Flx",687,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamil Wilson,LAC,"PF,Flx",688,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Marks,(N/A),"SG,Flx",689,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Adrien,(N/A),"SF,PF,Flx",690,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Akognon,(N/A),"PG,SG,Flx",691,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
DeVaughn Akoon-Purcell,(N/A),"PG,Flx",692,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Alexander,(N/A),"SF,Flx",693,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Alford,(N/A),"PG,Flx",694,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavoy Allen,(N/A),"PF,C,Flx",695,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Allen,(N/A),"PG,Flx",696,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Allen,(N/A),"PG,SG,Flx",697,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Alan Anderson,(N/A),"SG,SF,Flx",698,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Anderson,(N/A),"PG,Flx",699,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Andrews,(N/A),"PG,Flx",700,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Anthony,(N/A),"PF,C,Flx",701,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Pero Antic,(N/A),"C,Flx",702,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith Appling,(N/A),"PG,Flx",703,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrell Arthur,PHO,"PF,C,Flx",704,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Ashley,(N/A),"PF,Flx",705,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Connor Atchley,(N/A),"PF,C,Flx",706,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chucky Atkins,(N/A),"PG,Flx",707,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Atkins,(N/A),"PG,Flx",708,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Zach Auguste,(N/A),"PF,Flx",709,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Avila,(N/A),"SF,Flx",710,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Gustavo Ayon,(N/A),"PF,C,Flx",711,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Ayres,(N/A),"PF,C,Flx",712,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Bachynski,(N/A),"C,Flx",713,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Gracin Bakumanya,(N/A),"C,Flx",714,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Barber,(N/A),"PG,Flx",715,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Barbosa,(N/A),"PG,SG,Flx",716,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadeem Batts,(N/A),"PF,Flx",717,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
V.J. Beachem,(N/A),"SF,Flx",718,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Bennett,(N/A),"SF,PF,Flx",719,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarik Black,(N/A),"PF,C,Flx",720,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
James Blackmon Jr.,(N/A),"SG,Flx",721,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Vander Blue,LAL,"PG,Flx",722,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Bogut,(N/A),"C,Flx",723,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Bond,HOU,"SG,Flx",724,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Bowen,OKC,"SF,Flx",725,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronnie Brewer,(N/A),"SG,SF,Flx",726,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Amida Brimah,(N/A),"C,Flx",727,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Armoni Brooks,(N/A),"PG,Flx",728,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Alec Brown,(N/A),"C,Flx",729,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Brown,(N/A),"PG,SG,Flx",730,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Brown,(N/A),"PG,Flx",731,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jabari Brown,MIL,"SG,Flx",732,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Shannon Brown,(N/A),"SG,Flx",733,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Brownlee,(N/A),"PF,Flx",734,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Brussino,(N/A),"SG,SF,Flx",735,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight Buycks,(N/A),"PG,Flx",736,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Cage,CHI,"SF,PF,Flx",737,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Nik Caner-Medley,SAC,"SF,PF,Flx",738,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Caracter,LAL,"PF,Flx",739,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillip Carr,NY,"PF,Flx",740,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeffrey Carroll,LAL,"SG,Flx",741,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Carroll,NO,"SG,SF,Flx",742,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Troy Caupain,(N/A),"SG,Flx",743,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Chase,MIA,"PG,SG,Flx",744,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric Chenowith,NO,"C,Flx",745,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Cherry,GS,"PG,Flx",746,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick Christopher,UTA,"SG,Flx",747,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Coty Clarke,BOS,"SF,Flx",748,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor Claver,DEN,"SG,SF,Flx",749,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Speedy Claxton,GS,"PG,Flx",750,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Collinsworth,(N/A),"SG,Flx",751,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Conroy,MIN,"PG,SG,Flx",752,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Elgin Cook,GS,"SF,Flx",753,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Cooke Jr.,PHO,"PF,Flx",754,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Charles Cooke,MIA,"SG,Flx",755,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Cotton,MEM,"PG,Flx",756,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaleel Cousins,GS,"C,Flx",757,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Craft,GS,"PG,Flx",758,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Crawford,MEM,"SG,Flx",759,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitch Creek,(N/A),"SG,Flx",760,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Cunningham,MIL,"PG,SG,Flx",761,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddy Curry,DAL,"C,Flx",762,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Davies,BKN,"PF,Flx",763,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Davis,MEM,"PF,Flx",764,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Davis,WAS,"PF,C,Flx",765,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricky Davis,LAC,"SG,SF,Flx",766,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Dawkins,BOS,"SG,Flx",767,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Branden Dawson,ORL,"SF,PF,Flx",768,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Willie Deane,WAS,"PG,SG,Flx",769,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Dejean-Jones,NO,"PG,SG,Flx",770,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Delfino,LAC,"SG,SF,Flx",771,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Dentmon,DAL,"PG,Flx",772,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillermo Diaz,LAC,"PG,SG,Flx",773,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Dixon,BOS,"SG,Flx",774,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey Dorsey,DEN,"PF,C,Flx",775,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Douby,TOR,"PG,SG,Flx",776,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Toney Douglas,MEM,"PG,SG,Flx",777,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Douthit,LAC,"C,Flx",778,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Dozier,MIA,"SF,PF,Flx",779,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Larry Drew II,NO,"PG,Flx",780,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Duhon,LAL,"PG,Flx",781,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Duje Dukan,SAC,"SF,Flx",782,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kellen Dunham,MEM,"SG,Flx",783,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ronald Dupree,MEM,"SF,Flx",784,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleanthony Early,NY,"SF,Flx",785,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Devin Ebanks,DAL,"SG,SF,Flx",786,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarell Eddie,CHI,"SG,Flx",787,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
John Edwards,MIN,"C,Flx",788,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Melvin Ejim,ORL,"SF,PF,Flx",789,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Ellis,POR,"SF,PF,Flx",790,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Keenan Evans,DET,"PG,Flx",791,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Festus Ezeli,POR,"C,Flx",792,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Fair,CHI,"PF,Flx",793,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Farmar,SAC,"PG,Flx",794,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitor Faverani,BOS,"C,Flx",795,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Carrick Felix,WAS,"SG,SF,Flx",796,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Raymond Felton,(N/A),"PG,SG,Flx",797,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrylo Fesenko,MIN,"C,Flx",798,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kimani Ffriend,LAC,"C,Flx",799,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerald Fitch,DET,"PG,SG,Flx",800,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Flowers,GS,"SF,PF,Flx",801,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonny Flynn,DET,"PG,Flx",802,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Forbes,BKN,"SG,SF,Flx",803,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Courtney Fortson,LAC,"PG,SG,Flx",804,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Richie Frahm,LAC,"SG,Flx",805,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaal Franklin,DEN,"SG,SF,Flx",806,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Franks,(N/A),"SF,Flx",807,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Trey Freeman,DET,"PG,Flx",808,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony Gaffney,MEM,"PF,Flx",809,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Sundiata Gaines,IND,"PG,SG,Flx",810,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Garbajosa,TOR,"SF,PF,C,Flx",811,GSW,GSW,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaiser Gates,(N/A),"SF,Flx",812,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Hamilton,(N/A),"SF,Flx",813,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dusty Hannahs,(N/A),"PG,Flx",814,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephan Hicks,IND,"SG,Flx",815,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Huestis,SA,"SF,Flx",816,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Andre Ingram,LAL,"SG,Flx",817,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Jackson,DAL,"PG,Flx",818,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Jankovic,(N/A),"PF,Flx",819,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ognen Jaramaz,NY,"PG,Flx",820,CHA,CHA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Livio Jean-Charles,(N/A),"SF,PF,Flx",821,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Amir Johnson,(N/A),"PF,C,Flx",822,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakari Johnson,(N/A),"C,Flx",823,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Peter Jok,PHO,"PG,Flx",824,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Jones,(N/A),"SG,SF,Flx",825,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanton Kidd,(N/A),"PF,Flx",826,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
George King,(N/A),"SG,Flx",827,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
V.J. King,(N/A),"SG,Flx",828,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Sagaba Konate,(N/A),"SF,Flx",829,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Larkin,(N/A),"PG,Flx",830,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dedric Lawson,(N/A),"SF,PF,Flx",831,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheldon Mac,(N/A),"SG,Flx",832,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
J.P. Macura,CLE,"SG,Flx",833,FA,FA,,0,0,0%,0%,1,0,0,0,0,0,0,0,0,0,0,0,0
Luc Richard Mbah a Moute,LAC,"SF,PF,Flx",834,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kennedy Meeks,TOR,"C,Flx",835,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Mickey,(N/A),"PF,C,Flx",836,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Donatas Motiejunas,(N/A),"PF,C,Flx",837,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jermaine O'Neal,(N/A),"C,Flx",838,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Zaza Pachulia,(N/A),"C,Flx",839,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Paul,SA,"SG,Flx",840,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Kendrick Perkins,(N/A),"C,Flx",841,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Alec Peters,(N/A),"PF,Flx",842,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Pineiro,(N/A),"SG,Flx",843,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tayshaun Prince,(N/A),"SF,PF,Flx",844,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Zhou Qi,HOU,"PF,Flx",845,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Levi Randolph,(N/A),"SG,Flx",846,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Rathan-Mayes,MEM,"PG,Flx",847,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Richards,(N/A),"PF,C,Flx",848,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Scalabrine,(N/A),"PF,C,Flx",849,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Renaldas Seibutis,LAC,"PG,SG,Flx",850,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramon Sessions,(N/A),"PG,SG,Flx",851,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Edy Tavares,(N/A),"C,Flx",852,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquis Teague,MEM,"PG,Flx",853,FA,FA,,0,0,0%,0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Milos Teodosic,LAC,"PG,SG,Flx",854,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Emanuel Terry,MIA,"PF,Flx",855,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Lance Thomas,(N/A),"SG,SF,Flx",856,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0,0
Melo Trimble,MIN,"PG,Flx",857,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
