"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","FGM","FGA","3PTM","FTM","FTA","PTS","OREB","DREB","AST","ST","BLK","TO"
"Jarrell Brantley","UTA","PF,Flx","432","FA","@MIA Mon 7:30PM","12","6","2%","+0.4%","2","0","0","0","0","0","0","0","4","1","0","2","1"
"Melvin Frazier","ORL","SF,Flx","433","OKC","CHI Mon 7:00PM","12","2","2%","+0.2%","6","3","10","2","0","0","8","1","1","1","0","0","0"
"Shamorie Ponds","TOR","PG,G,Flx","434","FA","@IND Mon 7:00PM","11","3.67","1%","+0.4%","3","2","4","0","0","0","4","0","1","2","0","1","0"
"Sekou Doumbouya","DET","SF,PF,Flx","435","TOR","PHI Mon 7:00PM","9.5","1.9","19%","0%","5","4","11","0","0","1","8","0","3","0","1","0","1"
"Dean Wade","CLE","PG,G,Flx","436","FA","ATL Mon 7:00PM","9","3","0%","+0.2%","3","1","2","1","0","0","3","0","2","0","1","0","0"
"Nigel Williams-Goss","UTA","PG,G,Flx","437","FA","@MIA Mon 7:30PM","8.5","1.21","1%","0%","7","0","5","0","2","2","2","1","1","2","0","1","1"
"Devon Hall","(N/A)","SG,G,Flx","438","DEN","","8.5","1.7","1%","-0.1%","5","1","5","0","3","4","5","0","1","3","0","0","1"
"Udonis Haslem","MIA","PF,Flx","439","FA","UTA Mon 7:30PM","8.5","4.25","0%","0%","2","1","1","0","3","4","5","0","3","0","0","0","0"
"Henry Ellenson","BKN","PF,Flx","440","FA","","7","2.33","1%","+0.1%","3","1","5","0","0","0","2","2","2","0","0","0","0"
"Oshae Brissett","TOR","PF,Flx","441","FA","@IND Mon 7:00PM","7","1.4","0%","+0.1%","5","1","3","1","0","0","3","0","1","1","1","0","2"
"Max Strus","CHI","SG,G,Flx","442","FA","@ORL Mon 7:00PM","6.5","3.25","0%","+0.1%","2","2","3","0","1","1","5","1","0","0","0","0","0"
"Talen Horton-Tucker","LAL","SF,Flx","443","DEN","","6","3","8%","+0.8%","2","0","1","0","0","0","0","0","0","2","1","0","0"
"Zylan Cheatham","NO","SF,Flx","444","FA","@POR Mon 10:00PM","6","3","1%","+0.1%","2","1","4","0","0","0","2","0","3","1","0","0","1"
"DaQuan Jeffries","SAC","PG,G,Flx","445","FA","HOU Mon 10:00PM","6","3","0%","0%","2","1","1","0","0","0","2","1","0","1","0","0","0"
"Vlatko Cancar","DEN","SF,Flx","446","FA","@PHO Mon 9:00PM","5.5","2.75","3%","+0.6%","2","0","1","0","2","2","2","1","0","1","0","0","0"
"Naz Reid","MIN","C,Flx","447","DAL","@GS Mon 10:30PM","5","2.5","5%","+1%","2","1","2","1","0","0","3","0","1","0","0","0","0"
"Jalen McDaniels","CHA","PF,Flx","448","ATL","","4.5","2.25","2%","0%","2","2","5","0","0","0","4","1","0","0","0","0","0"
"Brian Bowen II","IND","SG,G,Flx","449","FA","TOR Mon 7:00PM","4.5","1.5","1%","-0.4%","3","1","4","0","0","0","2","0","1","0","0","1","0"
"Jarred Vanderbilt","DEN","SF,Flx","450","HOU","@PHO Mon 9:00PM","4","1.33","5%","+0.4%","3","0","0","0","0","0","0","0","2","1","0","0","1"
"Josh Gray","NO","PG,G,Flx","451","FA","@POR Mon 10:00PM","4","2","0%","+0.1%","2","1","2","0","0","0","2","1","1","2","0","0","5"
"Justin Patton","OKC","C,Flx","452","MIL","","3","1.5","2%","+0.4%","2","1","3","0","0","0","2","0","2","0","0","0","1"
"Daryl Macon","MIA","PG,G,Flx","453","FA","UTA Mon 7:30PM","3","0.75","0%","-0.3%","4","1","3","1","0","0","3","0","0","1","0","0","2"
"Stanton Kidd","(N/A)","PF,Flx","454","FA","","3","0.75","0%","+0.1%","4","0","3","0","0","0","0","0","3","1","0","0","2"
"Juwan Morgan","UTA","PF,Flx","455","FA","@MIA Mon 7:30PM","2","0.67","0%","-0.1%","3","0","0","0","0","0","0","0","2","0","0","0","1"
"Kostas Antetokounmpo","LAL","SF,PF,Flx","456","FA","","1.5","0.75","6%","+0.8%","2","0","0","0","0","0","0","0","1","0","0","0","0"
"Jonah Bolden","PHI","PF,Flx","457","LAC","@DET Mon 7:00PM","1.5","0.75","5%","-0.2%","2","1","1","0","0","2","2","0","0","0","1","0","1"
"Zach Norvell Jr.","(N/A)","SG,G,Flx","458","CHA","","1","0.5","3%","+0.3%","2","0","1","0","0","0","0","0","1","0","0","0","0"
"KZ Okpala","MIA","SF,Flx","459","HOU","UTA Mon 7:30PM","0.5","0.17","6%","+0.9%","3","0","0","0","0","0","0","0","1","0","0","0","1"
"Jordan Bone","DET","PG,G,Flx","460","FA","PHI Mon 7:00PM","0.5","0.17","4%","+0.3%","3","2","5","0","0","0","4","0","0","0","0","0","2"
"Miye Oni","UTA","SG,G,Flx","461","POR","@MIA Mon 7:30PM","0.5","0.17","2%","+0.6%","3","0","0","0","0","0","0","0","1","0","0","0","1"
"Zion Williamson","NO","PF,Flx","462","CHI","@POR Mon 10:00PM","0","0","99%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Victor Oladipo","IND","PG,SG,G,Flx","463","MEM","TOR Mon 7:00PM","0","0","96%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jusuf Nurkic","POR","C,Flx","464","POR","NO Mon 10:00PM","0","0","56%","+0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Klay Thompson","GS","SG,G,SF,Flx","465","ORL","MIN Mon 10:30PM","0","0","50%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Durant","BKN","SF,PF,Flx","466","BRK","","0","0","46%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DeMarcus Cousins","LAL","PF,C,Flx","467","CHI","","0","0","45%","+1.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Wall","WAS","PG,G,Flx","468","BRK","@NY Mon 7:00PM","0","0","38%","+2.5%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bol Bol","DEN","C,Flx","469","SAC","@PHO Mon 9:00PM","0","0","23%","+0.7%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Jackson","MEM","SG,G,SF,Flx","470","CHA","SA Mon 8:00PM","0","0","20%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dylan Windler","CLE","SF,Flx","471","TOR","ATL Mon 7:00PM","0","0","15%","+0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dion Waiters","MIA","SG,G,SF,Flx","472","CHA","UTA Mon 7:30PM","0","0","15%","-1.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zhaire Smith","PHI","SG,G,Flx","473","LAL","@DET Mon 7:00PM","0","0","15%","+2.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chuma Okeke","ORL","PF,Flx","474","MIN","CHI Mon 7:00PM","0","0","14%","+0.7%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luka Samanic","SA","PF,Flx","475","HOU","@MEM Mon 8:00PM","0","0","12%","-0.5%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Reggie Bullock","NY","SG,G,SF,Flx","476","PHI","WAS Mon 7:00PM","0","0","11%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andre Iguodala","MEM","SG,G,SF,Flx","477","LAL","SA Mon 8:00PM","0","0","10%","+1.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alen Smailagic","GS","PF,Flx","478","POR","MIN Mon 10:30PM","0","0","8%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andre Roberson","OKC","SG,G,SF,Flx","479","CHI","","0","0","7%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Guy","SAC","PG,G,Flx","480","FA","HOU Mon 10:00PM","0","0","6%","+0.6%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ivan Rabb","NY","PF,Flx","481","SAC","WAS Mon 7:00PM","0","0","5%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jalen Lecque","PHO","PG,G,Flx","482","PHX","DEN Mon 9:00PM","0","0","5%","+0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gerald Green","HOU","SG,G,SF,Flx","483","FA","@SAC Mon 10:00PM","0","0","5%","-0.8%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Roby","DAL","PF,Flx","484","MEM","","0","0","4%","+0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nikola Mirotic","(N/A)","SF,PF,Flx","485","FA","","0","0","4%","+0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Didi Louzada Silva","NO","SF,Flx","486","MEM","@POR Mon 10:00PM","0","0","3%","-0.7%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Khyri Thomas","DET","SG,G,Flx","487","HOU","PHI Mon 7:00PM","0","0","3%","+0.6%","2","0","0","0","1","2","1","0","0","0","0","0","0"
"John Konchar","MEM","SG,G,Flx","488","LAL","SA Mon 8:00PM","0","0","3%","0%","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Quinndary Weatherspoon","SA","SG,G,Flx","489","FA","@MEM Mon 8:00PM","0","0","3%","+0.8%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deividas Sirvydis","(N/A)","SF,Flx","490","HOU","","0","0","3%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenneth Faried","(N/A)","PF,C,Flx","491","FA","","0","0","3%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pau Gasol","(N/A)","PF,C,Flx","492","FA","","0","0","2%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Darius Miller","NO","SG,G,SF,Flx","493","FA","@POR Mon 10:00PM","0","0","2%","-0.6%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marial Shayok","PHI","SF,Flx","494","FA","@DET Mon 7:00PM","0","0","2%","+0.7%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremy Lin","(N/A)","PG,SG,G,Flx","495","FA","","0","0","2%","+0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyreke Evans","IND","PG,SG,G,Flx","496","MEM","TOR Mon 7:00PM","0","0","2%","-0.6%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Hervey","OKC","SF,PF,Flx","497","FA","","0","0","2%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Wright-Foreman","UTA","PG,G,Flx","498","FA","@MIA Mon 7:30PM","0","0","2%","+0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaylen Adams","(N/A)","PG,G,Flx","499","FA","","0","0","1%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Young","DEN","SG,G,SF,Flx","500","FA","@PHO Mon 9:00PM","0","0","1%","+0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joe Johnson","(N/A)","SF,PF,Flx","501","FA","","0","0","1%","+0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameron Payne","(N/A)","PG,G,Flx","502","OKC","","0","0","1%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Reaves","DAL","SG,G,Flx","503","FA","","0","0","1%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Devontae Cacok","LAL","PF,Flx","504","FA","","0","0","1%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Alexander","(N/A)","PF,Flx","505","FA","","0","0","1%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamal Crawford","(N/A)","SG,G,SF,Flx","506","FA","","0","0","1%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaylen Hands","(N/A)","PG,G,Flx","507","FA","","0","0","1%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nikola Milutinov","SA","C,Flx","508","FA","@MEM Mon 8:00PM","0","0","1%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Issuf Sanon","WAS","PG,G,Flx","509","IND","@NY Mon 7:00PM","0","0","1%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trevon Bluiett","(N/A)","PG,G,Flx","510","FA","","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cristiano Felicio","CHI","C,Flx","511","FA","@ORL Mon 7:00PM","0","0","1%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joakim Noah","(N/A)","PF,C,Flx","512","FA","","0","0","1%","+0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lance Stephenson","(N/A)","SG,G,SF,Flx","513","FA","","0","0","1%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alberto Abalde","(N/A)","SF,Flx","514","FA","","0","0","1%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Jackson","ORL","SF,PF,Flx","515","FA","CHI Mon 7:00PM","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Anderson","(N/A)","SF,Flx","516","FA","","0","0","1%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jerian Grant","(N/A)","PG,SG,G,Flx","517","FA","","0","0","1%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonas Jerebko","(N/A)","SF,PF,Flx","518","FA","","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PJ Dozier","DEN","PG,G,Flx","519","FA","@PHO Mon 9:00PM","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yante Maten","BOS","SF,Flx","520","FA","","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Andrews","(N/A)","SF,PF,Flx","521","FA","","0","0","1%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Demetrius Jackson","(N/A)","PG,G,Flx","522","FA","","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Walt Lemon Jr.","(N/A)","SF,Flx","523","FA","","0","0","1%","+0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Lydon","(N/A)","PF,Flx","524","FA","","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Arnoldas Kulboka","CHA","SF,Flx","525","WAS","","0","0","1%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adam Hanga","SA","SG,G,Flx","526","FA","@MEM Mon 8:00PM","0","0","1%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Barnes","(N/A)","SG,G,SF,Flx","527","FA","","0","0","1%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andre Barrett","(N/A)","PG,G,Flx","528","FA","","0","0","1%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antonio Blakeney","(N/A)","PG,G,Flx","529","FA","","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathon Simmons","(N/A)","SG,G,SF,Flx","530","FA","","0","0","1%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sindarius Thornwell","(N/A)","SG,G,Flx","531","FA","","0","0","1%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quincy Acy","PHO","SF,PF,Flx","532","FA","DEN Mon 9:00PM","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Austin","(N/A)","C,Flx","533","FA","","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wade Baldwin IV","IND","PG,G,Flx","534","FA","TOR Mon 7:00PM","0","0","1%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nene Hilario","HOU","PF,C,Flx","535","FA","@SAC Mon 10:00PM","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vincent Edwards","(N/A)","SF,Flx","536","DAL","","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shelvin Mack","(N/A)","PG,G,Flx","537","FA","","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wayne Selden Jr.","(N/A)","SG,G,Flx","538","FA","","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ray Spalding","(N/A)","PF,Flx","539","FA","","0","0","1%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guerschon Yabusele","(N/A)","SF,PF,Flx","540","FA","","0","0","1%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MarShon Brooks","CHI","SG,G,SF,Flx","541","MEM","@ORL Mon 7:00PM","0","0","1%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jalen Adams","(N/A)","PG,G,Flx","542","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Devin Harris","(N/A)","PG,SG,G,Flx","543","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Beasley","(N/A)","SF,PF,Flx","544","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaron Blossomgame","(N/A)","SF,Flx","545","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ian Clark","(N/A)","PG,SG,G,Flx","546","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greg Monroe","(N/A)","PF,C,Flx","547","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alex Poythress","(N/A)","SF,Flx","548","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Devin Robinson","(N/A)","SG,G,SF,Flx","549","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ike Anigbogu","IND","C,Flx","550","FA","TOR Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Frazier","HOU","SG,G,Flx","551","FA","@SAC Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gary Payton II","WAS","SG,G,Flx","552","FA","@NY Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Askia Booker","(N/A)","SG,G,Flx","553","FA","","0","0","0%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Arron Afflalo","(N/A)","SG,G,SF,Flx","554","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marques Bolden","(N/A)","C,Flx","555","FA","","0","0","0%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dante Cunningham","(N/A)","SF,PF,Flx","556","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trevon Duval","(N/A)","PG,G,Flx","557","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jawun Evans","(N/A)","PG,G,Flx","558","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mathias Lessort","(N/A)","PF,Flx","559","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarell Martin","(N/A)","PF,C,Flx","560","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Davon Reed","(N/A)","SG,G,Flx","561","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aleksandar Vezenkov","(N/A)","PF,Flx","562","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jemerrio Jones","(N/A)","SG,G,Flx","563","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nik Stauskas","(N/A)","SG,G,SF,Flx","564","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Omer Asik","CHI","PF,C,Flx","565","FA","@ORL Mon 7:00PM","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joel Berry II","LAL","PG,G,Flx","566","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Briscoe","ORL","PG,G,Flx","567","FA","CHI Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcin Gortat","LAC","C,Flx","568","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Louis King","DET","PF,Flx","569","FA","PHI Mon 7:00PM","0","0","0%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Malik Newman","MIA","PG,G,Flx","570","FA","UTA Mon 7:30PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chinanu Onuaku","POR","PF,C,Flx","571","FA","NO Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kobi Simmons","CHA","SG,G,Flx","572","FA","","0","0","0%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mamadou N'Diaye","(N/A)","C,Flx","573","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Michineau","LAC","PG,G,Flx","574","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deng Adel","(N/A)","C,Flx","575","FA","","0","0","0%","-0.4%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rawle Alkins","(N/A)","SG,G,Flx","576","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dairis Bertans","(N/A)","SG,G,Flx","577","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Caroline","(N/A)","SF,Flx","578","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deyonta Davis","(N/A)","PF,Flx","579","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angel Delgado","(N/A)","C,Flx","580","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Dorsey","(N/A)","PG,G,Flx","581","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jon Leuer","(N/A)","PF,C,Flx","582","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vanja Marinkovic","(N/A)","SG,G,SF,Flx","583","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zaza Pachulia","(N/A)","C,Flx","584","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"J.R. Smith","(N/A)","SG,G,SF,Flx","585","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Johnathan Williams","(N/A)","PF,Flx","586","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Troy Williams","(N/A)","SG,G,SF,Flx","587","FA","","0","0","0%","+0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Canaan","MIL","PG,G,Flx","588","FA","","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tony Carr","NO","PG,G,Flx","589","FA","@POR Mon 10:00PM","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Omri Casspi","MEM","SF,PF,Flx","590","FA","SA Mon 8:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alpha Kaba","ATL","PF,Flx","591","FA","@CLE Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adam Mokoka","CHI","SG,G,Flx","592","FA","@ORL Mon 7:00PM","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cameron Oliver","POR","SF,Flx","593","FA","NO Mon 10:00PM","0","0","0%","-0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Carter Jr.","(N/A)","PF,Flx","594","FA","","0","0","0%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Jeanne","(N/A)","C,Flx","595","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Borisa Simanic","(N/A)","PF,Flx","596","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ray Smith","(N/A)","SF,Flx","597","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scott Suggs","TOR","SG,G,Flx","598","FA","@IND Mon 7:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"lex Abrines","(N/A)","SG,G,SF,Flx","599","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cole Aldrich","(N/A)","C,Flx","600","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Augustine","(N/A)","SF,PF,C,Flx","601","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jerryd Bayless","(N/A)","PG,SG,G,Flx","602","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Javon Bess","(N/A)","SG,G,Flx","603","FA","","0","0","0%","-0.3%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sam Dekker","(N/A)","SF,PF,Flx","604","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Harrison","(N/A)","PG,SG,G,Flx","605","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kosta Koufos","(N/A)","PF,C,Flx","606","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon McCoy","(N/A)","C,Flx","607","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ekpe Udoh","(N/A)","PF,C,Flx","608","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Zeller","(N/A)","PF,C,Flx","609","FA","","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaylen Barford","CHA","PG,G,Flx","610","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Bibbs","LAC","SG,G,Flx","611","FA","","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cody Demps","SAC","SG,G,Flx","612","FA","HOU Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kay Felder","TOR","PG,G,Flx","613","FA","@IND Mon 7:00PM","0","0","0%","+0.2%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Franks","CHA","SF,Flx","614","FA","","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wesley Johnson","WAS","SG,G,SF,Flx","615","FA","@NY Mon 7:00PM","0","0","0%","-0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zhou Qi","HOU","PF,Flx","616","FA","@SAC Mon 10:00PM","0","0","0%","+0.1%","0","0","0","0","0","0","0","0","0","0","0","0","0"
"KT Harrell","(N/A)","SG,G,Flx","617","FA","","0","0","0%","0%","0","0","0","0","0","0","0","0","0","0","0","0","0"
