"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","FGM","FGA","3PTM","FTM","FTA","PTS","OREB","DREB","AST","ST","BLK","TO"
"Cheick Diallo","PHO","PF,C,Flx","310","FA","DEN Mon 9:00PM","209.5","10.47","9%","-1%","20","45","65","1","18","21","109","14","41","10","2","4","12"
"Keita Bates-Diop","MIN","SF,Flx","311","MEM","@GS Mon 10:30PM","209","13.06","12%","-0.5%","16","41","86","19","9","15","110","7","34","8","6","7","5"
"Semi Ojeleye","BOS","SF,PF,Flx","312","CHI","","206.5","7.65","6%","+0.8%","27","26","64","15","7","10","74","10","46","12","11","2","6"
"Allen Crabbe","ATL","SG,G,SF,Flx","313","BRK","@CLE Mon 7:00PM","201.5","11.19","8%","+0.7%","18","33","91","17","7","9","90","8","35","17","9","3","7"
"Daniel Gafford","CHI","C,Flx","314","NYK","@ORL Mon 7:00PM","200","9.52","17%","-0.9%","21","38","53","0","12","23","88","16","20","5","1","24","4"
"Trey Burke","PHI","PG,G,Flx","315","LAC","@DET Mon 7:00PM","196","16.33","8%","-0.5%","12","35","74","10","8","11","88","9","13","35","7","1","7"
"Tony Bradley","UTA","C,Flx","316","DEN","@MIA Mon 7:30PM","195","10.26","9%","+1%","19","33","54","0","11","16","77","25","39","5","2","8","10"
"Theo Pinson","BKN","SG,G,SF,Flx","317","FA","","194.5","10.24","5%","+1.2%","19","32","112","11","13","14","88","8","32","36","9","2","27"
"John Collins","ATL","PF,C,Flx","318","MIA","@CLE Mon 7:00PM","192","38.4","99%","+0.5%","5","32","61","9","12","17","85","10","34","8","5","10","7"
"Dzanan Musa","BKN","SF,Flx","319","CHA","","192","8.73","11%","+0.5%","22","31","98","9","23","31","94","10","41","24","9","1","24"
"Jerome Robinson","LAC","SG,G,Flx","320","GSW","","190.5","7.62","8%","0%","25","34","99","13","6","13","87","3","38","25","7","7","18"
"Otto Porter Jr.","CHI","SF,PF,Flx","321","MEM","@ORL Mon 7:00PM","189","21","77%","-5.6%","9","35","84","16","15","20","101","8","23","14","9","3","7"
"Torrey Craig","DEN","SG,G,SF,Flx","322","FA","@PHO Mon 9:00PM","186.5","8.88","7%","+0.3%","21","24","61","7","7","13","62","13","31","15","7","12","8"
"Georges Niang","UTA","SF,PF,Flx","323","FA","@MIA Mon 7:30PM","186.5","8.11","4%","+0.8%","23","38","77","21","7","10","104","4","36","10","3","3","13"
"Quinn Cook","LAL","PG,G,Flx","324","GSW","","183","8.71","9%","+0.1%","21","43","103","12","4","5","102","4","21","31","6","1","19"
"Marvin Bagley III","SAC","PF,Flx","325","DEN","HOU Mon 10:00PM","182.5","26.07","99%","+0.5%","7","39","88","3","13","17","94","16","36","6","3","7","9"
"Jordan Bell","MIN","PF,C,Flx","326","CHA","@GS Mon 10:30PM","182","10.71","13%","-0.7%","17","24","44","0","16","25","64","21","39","12","2","9","15"
"Tim Frazier","DET","PG,SG,G,Flx","327","FA","PHI Mon 7:00PM","180","11.25","4%","+0.8%","16","15","50","4","15","18","49","5","10","54","9","2","13"
"Bruno Caboclo","MEM","SF,PF,Flx","328","FA","SA Mon 8:00PM","179","9.94","12%","-0.3%","18","28","65","4","2","3","62","16","26","8","9","12","7"
"Ed Davis","UTA","PF,C,Flx","329","MEM","@MIA Mon 7:30PM","176","10.35","14%","-1%","17","11","27","0","4","9","26","17","56","8","8","8","11"
"Evan Turner","ATL","SG,G,SF,Flx","330","MEM","@CLE Mon 7:00PM","175.5","10.97","9%","-1.2%","16","24","61","0","12","14","60","7","26","33","8","8","23"
"Michael Porter Jr.","DEN","SF,Flx","331","SAC","@PHO Mon 9:00PM","175","9.21","41%","-1%","19","33","77","7","8","11","81","17","36","8","1","7","12"
"TJ Leaf","IND","PF,Flx","332","BRK","TOR Mon 7:00PM","174.5","9.18","8%","+0.1%","19","26","61","5","6","10","63","20","38","6","7","3","6"
"John Henson","CLE","PF,C,Flx","333","MIL","ATL Mon 7:00PM","171.5","15.59","8%","+0.3%","11","20","38","2","4","13","46","11","24","17","8","15","8"
"Troy Daniels","LAL","PG,SG,G,Flx","334","FA","","170","7.39","4%","+1%","23","38","100","25","4","7","105","4","24","8","7","1","6"
"Carsen Edwards","BOS","PG,G,Flx","335","NOP","","169.5","8.07","22%","-1.4%","21","27","84","17","11","13","82","5","31","17","7","2","12"
"Boban Marjanovic","DAL","C,Flx","336","BRK","","167.5","13.96","14%","-1.3%","12","31","56","0","14","20","76","15","43","7","2","3","11"
"Lonnie Walker IV","SA","SG,G,Flx","337","UTA","@MEM Mon 8:00PM","164.5","7.83","26%","-0.3%","21","39","89","8","13","22","99","8","28","12","6","3","13"
"Thabo Sefolosha","HOU","SG,G,SF,PF,Flx","338","FA","@SAC Mon 10:00PM","164.5","7.15","2%","+0.2%","23","16","48","8","0","1","40","12","36","15","9","4","7"
"Ian Mahinmi","WAS","C,Flx","339","FA","@NY Mon 7:00PM","162.5","20.31","12%","+1.1%","8","23","43","1","14","20","61","17","28","8","4","11","13"
"Allonzo Trier","NY","SG,G,Flx","340","MIN","WAS Mon 7:00PM","161","11.5","14%","-0.9%","14","29","57","14","31","39","103","1","18","20","2","4","18"
"Stephen Curry","GS","PG,SG,G,Flx","341","GSW","MIN Mon 10:30PM","157","39.25","95%","+0.9%","4","27","66","9","18","18","81","4","16","26","5","2","15"
"Tyson Chandler","HOU","C,Flx","342","BRK","@SAC Mon 10:00PM","154","7.7","5%","-0.4%","20","13","17","0","5","9","31","21","34","6","5","7","6"
"Shaquille Harrison","CHI","PG,SG,G,Flx","343","FA","@ORL Mon 7:00PM","151.5","8.42","5%","-0.2%","18","20","49","3","11","18","54","6","24","22","8","4","6"
"Wayne Ellington","NY","SG,G,SF,Flx","344","FA","WAS Mon 7:00PM","150","8.33","5%","+0.2%","18","26","81","21","4","6","77","1","28","16","5","2","12"
"Terance Mann","LAC","SF,Flx","345","CLV","","147","6.68","8%","+1%","22","21","42","2","8","10","52","3","22","28","6","3","12"
"D.J. Wilson","MIL","PF,Flx","346","SAC","","146.5","9.16","7%","+0.1%","16","31","64","11","2","3","75","6","32","12","0","2","11"
"Mike Muscala","OKC","PF,C,Flx","347","PHI","","146","7.68","11%","-0.8%","19","19","63","12","9","10","59","6","31","14","4","3","6"
"Chris Clemons","HOU","PG,SG,G,Flx","348","POR","@SAC Mon 10:00PM","146","7.3","6%","+1.6%","20","34","79","25","3","4","96","2","12","6","5","4","8"
"Juancho Hernangomez","DEN","SF,PF,Flx","349","ATL","@PHO Mon 9:00PM","144.5","8.5","8%","+0.1%","17","25","64","12","7","13","69","11","30","11","1","3","10"
"Iman Shumpert","(N/A)","SG,G,SF,Flx","350","FA","","142","10.92","3%","-0.9%","13","21","64","8","4","7","54","9","25","12","12","2","10"
"Gary Clark","HOU","SF,PF,Flx","351","MIN","@SAC Mon 10:00PM","138","9.86","4%","+0.4%","14","18","48","14","6","7","56","9","21","9","1","6","1"
"Wes Iwundu","ORL","SG,G,SF,Flx","352","FA","CHI Mon 7:00PM","128","8.53","4%","+0.3%","15","16","48","1","17","20","50","8","22","14","7","3","6"
"J.J. Barea","DAL","PG,SG,G,Flx","353","MIL","","126","18","7%","+0.4%","7","25","56","12","2","2","64","2","10","22","2","1","5"
"C.J. Miles","WAS","SG,G,SF,Flx","354","FA","@NY Mon 7:00PM","125","12.5","8%","-0.5%","10","19","59","11","15","20","64","4","8","12","10","4","4"
"Eric Gordon","HOU","SG,G,SF,Flx","355","CHA","@SAC Mon 10:00PM","122.5","13.61","45%","-2.4%","9","34","110","21","9","14","98","3","14","7","5","2","12"
"Chris Chiozza","(N/A)","PG,G,Flx","356","FA","","121.5","12.15","4%","+0.5%","10","10","34","7","0","0","27","0","15","28","10","2","9"
