fr_position,player,fr_2019,fr_2020,fr_2021,fr_2022,fr_2023,fr_2024,fr_rfa,fr_injured,fr_gleague,fr_intl,fr_team,trade_comp,,,,,,,,,fr_team_start2019
5-Apr,Amir Johnson,1653750,1736438,,,,,,0,0,0,GSW,GSW,,,,,,,,,GSW
5-Apr,Dragan Bender,500000,,,,,,,0,0,0,GSW,GSW,,,,,,,,,GSW
1-Jan,Collin Sexton,4764960,4991880,6349671,,,,2022,0,0,0,HOU,HOU,,,,,,,,,HOU
1-Jan,Elie Okobo,1416852,1663861,1802057,,,,2022,0,0,0,HOU,HOU,,,,,,,,,HOU
2-Jan,George Hill,3031875,3183469,,,,,,0,0,0,HOU,HOU,,,,,,,,,HOU
2-Jan,Zach LaVine,13650000,14332500,15049125,,,,,0,0,0,HOU,HOU,,,,,,,,,HOU
2-Jan,Devin Booker,27285000,28649250,30081712.5,31585798.1,,,,0,0,0,HOU,HOU,,,,,,,,,HOU
2-Feb,Wayne Selden Jr.,551250,578812.5,,,,,,0,0,0,HOU,HOU,,,,,,,,,HOU
3-Feb,Denzel Valentine,3377569,,,,,,2020,0,0,0,HOU,HOU,,,,,,,,,CLE
3-Feb,Allen Crabbe,4031875,4183469,,,,,,0,0,0,HOU,HOU,,,,,,,,,HOU
3-Feb,Josh Richardson,10500000,11025000,11576250,,,,,0,0,0,HOU,HOU,,,,,,,,,HOU
3-Feb,Bogdan Bogdanovic,9428571,,,,,,2020,0,0,0,HOU,HOU,,,,,,,,,HOU
3-Mar,DeAndre Hunter,7068360,7422000,7775400,9835881,,,,0,0,0,HOU,HOU,,,,,,,,,HOU
4-Apr,Mike Scott,750000,,,,,,,0,0,0,HOU,HOU,,,,,,,,,HOU
4-Apr,Lauri Markkanen,5300400,6731508,,,,,2021,0,0,0,HOU,HOU,,,,,,,,,HOU
5-Apr,Harry Giles,2578800,3976510,,,,,2021,0,0,0,HOU,HOU,,,,,,,,,HOU
5-May,Deandre Ayton,9575040,10031160,12649292,,,,2022,0,0,0,HOU,HOU,,,,,,,,,HOU
1-Jan,Ty Jerome,2193480,2303040,2412840,4220057,,,2023,0,0,0,IND,IND,,,,,,,,,IND
2-Jan,Victor Oladipo,21000000,21000000,,,,,,1,0,0,IND,IND,,,,,,,,,IND
2-Jan,Shaquille Harrison,525000,551250,578812.5,,,,,0,0,0,IND,IND,,,,,,,,,IND
2-Feb,Kevin Porter Jr.,1290960,2033160,2130240,3845083,,,2023,0,0,0,IND,IND,,,,,,,,,IND
2-Feb,Hamidou Diallo,840000,882000,,,,,2021,0,0,0,IND,IND,,,,,,,,,IND
2-Feb,Allonzo Trier,2100000,2205000,2315250,,,,,0,0,0,IND,IND,,,,,,,,,IND
3-Mar,Cameron Johnson,4033440,4235160,4437000,5887899,,,2023,0,0,0,IND,IND,,,,,,,,,IND
4-Mar,Sekou Doumbouya,3285120,3285120,3613680,5539771,,,2023,0,0,0,IND,IND,,,,,,,,,IND
5-Apr,Skal Labissiere,500000,525000,551250,,,,,0,0,0,IND,IND,,,,,,,,,
5-Apr,Davis Bertans,3937500,4134375,4341093.75,,,,,0,0,0,IND,IND,,,,,,,,,IND
5-Apr,Kristaps Porzingis,27285000,28649250,30081712.5,31585798.1,33165088,,,0,0,0,IND,IND,,,,,,,,,IND
5-Apr,Joel Embiid,26775000,28113750,29519437.5,,,,,0,0,0,IND,IND,,,,,,,,,IND
5-May,Jakob Poeltl,3754886,,,,,,2020,0,0,0,IND,IND,,,,,,,,,DAL
5-May,Deng Adel,525000,551250,,,,,,0,0,0,IND,IND,,,,,,,,,IND
G,Jalen Brunson,945000,992250,,,,,2021,0,1,0,IND,IND,,,,,,,,,IND
G,Keldon Johnson,900000,945000,992250,,,,2022,0,1,0,IND,IND,,,,,,,,,IND
1-Jan,Mike Conley,32511623,34502130,,,,,,0,0,0,LAC,LAC,,,,,,,,,LAC
1-Jan,Elfrid Payton,12600000,13230000,13891500,,,,,0,0,0,LAC,LAC,,,,,,,,,LAC
1-Jan,Emmanuel Mudiay,5758897,,,,,,,0,0,0,LAC,LAC,,,,,,,,,LAC
2-Feb,Jordan Bone,700000,735000,771750,,,,2022,0,1,0,LAC,LAC,,,,,,,,,LAC
2-Feb,Khyri Thomas,1050000,1102500,,,,,2021,0,0,0,LAC,LAC,,,,,,,,,LAC
2-Feb,Jordan Poole,900000,945000,992250,,,,2022,0,0,0,LAC,LAC,,,,,,,,,LAC
3-Feb,Patrick McCaw,525000,551250,578812.5,,,,,0,0,0,LAC,LAC,,,,,,,,,LAC
3-Feb,Rodney Hood,6300000,6615000,,,,,,0,0,0,LAC,LAC,,,,,,,,,LAC
3-Feb,Norman Powell,1575000,1653750,1736437.5,,,,,0,0,0,LAC,LAC,,,,,,,,,LAC
4-Mar,Dorian Finney-Smith,9000000,9450000,9922500,10418625,,,,0,0,0,LAC,LAC,,,,,,,,,LAC
4-Apr,Isaiah Roby,600000,630000,661500,,,,2022,0,0,0,LAC,LAC,,,,,,,,,LAC
5-Apr,Richaun Holmes,5000000,5250000,,,,,,0,0,0,LAC,LAC,,,,,,,,,LAC
5-May,Brook Lopez,14700000,15435000,16206750,,,,,0,0,0,LAC,LAC,,,,,,,,,LAC
G,Kyle Alexander,900000,945000,992250,,,,2022,0,1,0,LAC,LAC,,,,,,,,,LAC
INTL,Daniel Diez,,,,,,,,0,0,1,LAC,LAC,,,,,,,,,LAC
INTL,Dimitrios Agravanis,,,,,,,,0,0,1,LAC,LAC,,,,,,,,,LAC
INTL,Marcus Eriksson,,,,,,,,0,0,1,LAC,LAC,,,,,,,,,LAC
INTL,Anžejs Pasecņiks,,,,,,,,0,0,1,LAC,LAC,,,,,,,,,LAC
2,Tyler Herro,3640200,3822240,4004280,5722116,,,2023,0,0,0,LAL,LAL,,,,,,,,,SAC
1-Jan,Michael Carter-Williams,2756250,2894063,,,,,,0,0,0,LAL,LAL,,,,,,,,,SAC
2-Jan,Donovan Mitchell,3635760,5195501,,,,,2021,0,0,0,LAL,LAL,,,,,,,,,SAC
3-Feb,Troy Brown,3219480,3372840,5170564,,,,2022,0,0,0,LAL,LAL,,,,,,,,,SAC
3-Feb,James Ennis,2205000,2315250,,,,,,0,0,0,LAL,LAL,,,,,,,,,SAC
3-Feb,Mikal Bridges,4161000,4359000,5557725,,,,2022,0,0,0,LAL,LAL,,,,,,,,,SAC
3-Feb,Wesley Iwundu,1618520,,,,,,2020,0,0,0,LAL,LAL,,,,,,,,,SAC
4-Mar,Aaron Gordon,26775000,28113750,29519437.5,,,,,0,0,0,LAL,LAL,,,,,,,,,SAC
4-Mar,Michael Porter Jr.,3389400,3550800,5258735,,,,2021,0,0,0,LAL,LAL,,,,,,,,,SAC
4-Apr,Brandon Clarke,2478840,2602920,2726880,4343920,,,2023,0,0,0,LAL,LAL,,,,,,,,,SAC
4-Apr,Ray Spalding,525000,551250,578812.5,,,,,0,0,0,LAL,LAL,,,,,,,,,SAC
5-May,Goga Bitadze,2816760,2957520,3098400,4765339,,,2023,0,0,0,LAL,LAL,,,,,,,,,SAC
5-May,Bruno Fernando,1400000,1517981,1782621,,,,2022,0,0,0,LAL,LAL,,,,,,,,,SAC
G,Dzanan Musa,1050000,1102500,,,,,2021,0,1,0,LAL,LAL,,,,,,,,,SAC
G,Jarred Vanderbilt,945000,992250,,,,,2021,0,1,0,LAL,LAL,,,,,,,,,SAC
INTL,Cady Lalanne,,,,,,,,0,0,1,LAL,LAL,,,,,,,,,SAC
1-Jan,Jeff Teague,20947500,21994875,,,,,,0,0,0,MEM,MEM,,,,,,,,,MEM
2-Jan,Markelle Fultz,9745200,12288697,,,,,2021,0,0,0,MEM,MEM,,,,,,,,,MEM
3-Feb,Garrett Temple,1000000,,,,,,,0,0,0,MEM,MEM,,,,,,,,,MEM
3-Feb,J.R. Smith,3858750,4051687.5,,,,,,0,0,0,MEM,MEM,,,,,,,,,MEM
3-Feb,Stanley Johnson,1000000,1050000,1102500,1157625,,,,0,0,0,MEM,MEM,,,,,,,,,MEM
3-Feb,Jacob Evans,945000,992250,,,,,2021,0,0,0,MEM,MEM,,,,,,,,,MEM
3-Feb,Glenn Robinson III,3412500,3583125,3762281.25,,,,,0,0,0,MEM,MEM,,,,,,,,,MEM
3-Feb,Will Barton,14700000,15435000,,,,,,0,0,0,MEM,CLE,,,,,,,,,MEM
3-Feb,Andre Roberson,5250000,5512500,5788125,,,,,0,0,0,MEM,MEM,,,,,,,,,MEM
3-Feb,Reggie Bullock,4200000,4410000,4630500,,,,,0,0,0,MEM,MEM,,,,,,,,,MEM
4-Apr,Noah Vonleh,2000000,2100000,2205000,,,,2020,0,0,0,MEM,MEM,,,,,,,,,MEM
4-Apr,Ersan Ilyasova,4410000,4630500,4862025,,,,,0,0,0,MEM,MEM,,,,,,,,,MEM
4-Apr,Darius Bazley,900000,945000,992250,,,,2022,0,0,0,MEM,MEM,,,,,,,,,MEM
5-Apr,Kevon Looney,6500000,6825000,7166250,,,,,0,0,0,MEM,MEM,,,,,,,,,MEM
