R#,player,POS,TEAM,GP,MPG,FG%,FGM,FGA,FT%,FTM,FTA,THREES,PTS,DREB,OREB,TREB,AST,STL,BLK,TO,TOTAL
362,Kevin Porter Jr.,SF,CLE,62,16,0.43,2,4.6,0.6,1.2,1.9,0.7,5.7,2.1,0.5,2.6,1.1,0.5,0.3,1,-8.67
363,JJ Barea,PG,DAL,40,12,0.42,2.7,6.4,0.67,0.9,1.3,0.6,6.9,1.4,0.2,1.6,3.6,0.4,0,1.2,-8.75
364,Caleb Swanigan,PF,SAC,20,10,0.36,1.1,3.1,0.75,0.4,0.5,0,2.6,2.7,1,3.7,0.6,0.4,0,1.1,-8.9
365,Shake Milton,PG,PHI,50,12,0.4,1.6,4,0.75,0.3,0.4,0.7,4.2,1.2,0.4,1.6,0.8,0.4,0.4,0.3,-8.91
366,Ryan Arcidiacono,PG,CHI,50,12,0.44,1.2,2.7,0.85,0.6,0.7,0.5,3.5,1.3,0.2,1.4,1.7,0.4,0.1,0.4,-8.94
367,Troy Daniels,SG,LAL,30,12,0.41,1.9,4.6,0.8,0.3,0.4,1.3,5.4,1,0.3,1.3,0.4,0.4,0.1,0.4,-9
368,Khyri Thomas,SG,DET,66,16,0.3,1.8,6,0.75,0.7,0.9,0.9,5.2,1.3,0.4,1.8,0.7,0.6,0.4,0.4,-9.12
369,Luka Samanic,PF,SAS,20,10,0.46,1.7,3.8,0.6,0.9,1.5,0.2,4.6,2.5,0.6,3.1,0.6,0.3,0.3,0.7,-9.13
370,Justin Wright-Foreman,PG,UTA,20,12,0.45,1.8,4,0.8,1.1,1.3,0.7,5.4,1,0.3,1.3,0.9,0.3,0.1,0.7,-9.15
371,Darius Bazley,SF,OKC,40,10,0.41,1.6,3.7,0.77,0.9,1.1,0.3,4.3,1.6,0.4,2,0.4,0.3,0.5,1,-9.18
372,Admiral Schofield,SG,WAS,50,12,0.42,1.6,3.8,0.71,1,1.3,0.5,4.7,1.7,0.4,2.1,0.8,0.3,0.2,0.6,-9.22
373,Ignas Brazdeikis,PF,NYK,40,12,0.41,1.7,4,0.75,1,1.3,0.5,4.7,1.7,0.4,2.1,0.5,0.3,0.2,0.5,-9.25
374,Grayson Allen,SG,MEM,64,18,0.38,3.1,8.1,0.75,2.1,2.7,1.4,9.7,1,0.2,1.2,1.2,0.2,0.3,1.5,-9.29
375,Wesley Iwundu,SF,ORL,64,12,0.43,1.2,2.8,0.8,0.8,1,0.3,3.5,1.5,0.3,1.9,0.8,0.3,0.2,0.4,-9.38
376,Frank Ntilikina,PG,NYK,58,15,0.33,1.7,5,0.72,0.4,0.5,0.6,4.3,1.3,0.2,1.5,2.1,0.5,0.2,0.9,-9.52
377,Chandler Parsons,PF,ATL,20,10,0.37,1.4,3.9,0.91,0.5,0.5,0.6,4,1.4,0.1,1.5,0.9,0.4,0.1,0.7,-9.65
378,Keita Bates-Diop,PF,MIN,30,10,0.43,1.3,2.9,0.67,0.4,0.6,0.3,3.1,1.4,0.3,1.7,0.4,0.4,0.3,0.3,-9.81
379,Ty Jerome,PG,PHO,42,10,0.4,1.2,3.1,0.71,0.7,1,0.5,3.7,1.1,0.3,1.3,1.5,0.4,0.1,0.5,-9.81
380,Jerome Robinson,SG,LAC,60,12,0.4,1.7,4.3,0.67,0.3,0.4,0.7,4.3,1.4,0.1,1.6,0.8,0.4,0.1,0.5,-9.87
381,Jordan Poole,SG,GSW,60,12,0.39,1.4,3.7,0.79,0.9,1.1,0.6,4.3,0.9,0.2,1.2,0.8,0.4,0.1,0.6,-10
382,Treveon Graham,SG,MIN,30,12,0.33,1.1,3.4,0.84,0.3,0.4,0.7,3.2,1.5,0.4,1.9,0.6,0.2,0.1,0.3,-10.06
383,Dragan Bender,PF,MIL,40,8,0.44,1,2.2,0.64,0.4,0.6,0.3,2.6,1.6,0.4,2,0.6,0.2,0.3,0.4,-10.06
384,Abdel Nader,SF,OKC,62,10,0.43,1.4,3.2,0.67,0.4,0.6,0.5,3.6,1.6,0.2,1.8,0.3,0.3,0.2,0.4,-10.07
385,KZ Okpala,SF,MIA,30,12,0.41,1.7,4.1,0.68,0.9,1.3,0.3,4.6,1.4,0.4,1.8,0.7,0.3,0.2,0.8,-10.17
386,Semi Ojeleye,SF,BOS,40,12,0.43,1.4,3.3,0.57,0.5,0.8,0.6,3.9,1.3,0.5,1.8,0.5,0.2,0.1,0.3,-10.21
387,Deonte Burton,SF,OKC,30,10,0.39,1.4,3.6,0.75,0.4,0.6,0.4,3.7,1.1,0.1,1.3,0.4,0.3,0.4,0.4,-10.21
388,Antonio Blakeney,SG,CHI,30,12,0.42,2.5,6,0.7,0.8,1.1,0.5,6.4,1.5,0.1,1.6,0.6,0.2,0.2,0.5,-10.3
389,Jevon Carter,PG,PHO,30,8,0.3,0.8,2.7,0.88,0.4,0.5,0.5,2.5,0.7,0.2,1,1,0.4,0.2,0.4,-10.54
390,Ryan Anderson,PF,MIA,24,10,0.29,0.7,2.3,0.84,0.4,0.5,0.3,2,1.1,0.6,1.7,0.7,0.2,0,0.5,-11.04
391,Alize Johnson,PF,IND,12,8,0.27,0.6,2,0.5,0.6,1.1,0.2,1.8,2,0.5,2.6,0.2,0.2,0.4,0,-11.11
392,Melvin Frazier,SG,ORL,28,10,0.38,1.8,4.7,0.65,0.7,1,0.3,4.5,0.8,0.5,1.3,0.3,0.3,0,0.3,-11.72
393,Dzanan Musa,SF,BKN,30,12,0.42,2.9,6.9,0,0,0.6,0.3,6,1.1,0.3,1.4,0.6,0.5,0,1.1,-11.9
394,Isaac Bonga,SG,WAS,30,6,0.13,0.2,1.7,0.57,0.5,0.8,0,0.9,0.8,0.5,1.3,0.8,0.4,0.2,0.3,-11.97
395,Gary Trent,SG,POR,30,12,0.37,1.1,3,0.67,0.2,0.3,0.4,2.8,0.7,0.1,0.8,0.3,0.1,0.1,0.3,-12.07
396,Christian Wood,PF,DET,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.63
397,Patrick Patterson,FA,OKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.63
