R#,player,POS,TEAM,GP,MPG,FG%,FGM,FGA,FT%,FTM,FTA,THREES,PTS,DREB,OREB,TREB,AST,STL,BLK,TO,TOTAL
61,Eric Bledsoe,PG,MIL,76,30,0.48,5.5,11.5,0.77,2.5,3.2,1.7,15.3,3.9,1.2,5.1,6,1.5,0.4,2.2,4.39
62,DeMar DeRozan,SF,SAS,76,33,0.47,8.2,17.3,0.83,4.7,5.7,0.4,21.4,5.3,0.7,6,5.2,1.1,0.5,2.5,4.36
63,Dewayne Dedmon,C,SAC,66,25,0.5,4,8.1,0.78,1.5,1.9,1.4,10.8,6.2,1.5,7.6,1.5,1.1,1.2,1.3,4.17
64,Kyle Lowry,PG,TOR,68,32,0.43,5.7,13.2,0.84,2.5,3,2.5,16.3,4.1,0.6,4.7,7.1,1.3,0.5,2.7,4.16
65,Zach LaVine,SG,CHI,68,34,0.46,8.2,17.8,0.84,5.2,6.2,2,23.6,4.1,0.6,4.8,4.7,1,0.4,3.4,4.15
66,Chris Paul,PG,OKC,64,29,0.44,5.3,12.2,0.86,2.9,3.3,2,15.5,3.3,0.5,3.8,7.7,1.6,0.3,2.6,4.04
67,Jayson Tatum,PF,BOS,78,32,0.47,6.4,13.8,0.83,2.6,3.1,1.6,17,5.5,1,6.5,2.3,1.1,0.8,1.5,4.02
68,Mike Conley,PG,UTA,70,32,0.45,6.1,13.4,0.85,4.9,5.8,2.2,19.3,2.8,0.6,3.4,6,1.2,0.3,1.8,3.98
69,Donovan Mitchell,SG,UTA,78,34,0.44,9.2,20.8,0.81,4.4,5.4,2.6,25.2,3.5,0.8,4.3,3.8,1.4,0.4,2.8,3.91
70,Montrezl Harrell,C,LAC,78,28,0.63,6.4,10.3,0.64,3.6,5.6,0,16.4,4.6,2.3,6.9,2.2,1,1.5,1.7,3.8
71,Malcolm Brogdon,PG,IND,70,32,0.49,6.5,13.2,0.92,2.6,2.8,1.9,17.4,3.5,1.1,4.6,4.9,0.8,0.2,1.8,3.71
72,De'Aaron Fox,PG,SAC,78,32,0.46,6.9,14.9,0.73,4,5.5,1.3,19,3.7,0.5,4.2,7.9,1.6,0.7,2.9,3.58
73,Brook Lopez,C,MIL,76,28,0.46,4.5,9.9,0.88,1.4,1.6,2.4,12.9,4.6,0.4,5,1.2,0.6,2.3,1,3.53
74,Cody Zeller,C,CHA,64,26,0.56,4.2,7.5,0.8,2.5,3.1,0.1,11,4.8,2.4,7.2,2.3,0.8,1,1.2,3.51
75,Lonzo Ball,PG,NOR,66,31,0.44,4.8,10.8,0.46,0.6,1.4,1.7,11.9,4.5,1.2,5.7,8.5,1.7,0.4,2.3,3.51
76,JaVale McGee,C,LAL,76,24,0.62,4.9,7.9,0.65,1.5,2.3,0,11.3,5.5,1.8,7.4,0.8,0.6,1.9,1.5,3.49
77,D'Angelo Russell,SG,GSW,78,32,0.45,7.8,17.4,0.8,2.2,2.8,3.2,21,3.4,0.7,4,5.1,1.3,0.2,2.7,3.45
78,Aaron Gordon,PF,ORL,78,32,0.45,6.1,13.3,0.75,2.4,3.2,1.6,16.1,5.7,1.7,7.4,3.5,0.8,0.8,2,3.43
79,Serge Ibaka,C,TOR,72,28,0.49,6.2,12.9,0.75,2,2.6,0.8,15.2,6.1,2.1,8.2,1.1,0.4,1.3,1.5,3.21
80,CJ McCollum,SG,POR,76,34,0.46,8.7,18.7,0.86,2.4,2.8,2.5,22.3,3.4,0.9,4.3,3.2,0.8,0.4,1.5,3.13
81,Jarrett Allen,C,BKN,80,24,0.59,3.8,6.4,0.72,2.4,3.4,0.1,10.1,5.8,2.3,8.1,1.3,0.5,1.4,1.2,2.86
82,Jonathan Isaac,SF,ORL,76,28,0.44,4.3,9.7,0.81,1.8,2.2,1.3,11.6,4.8,1.4,6.3,1.3,1.1,1.4,1.2,2.83
83,Paul Millsap,PF,DEN,66,26,0.49,4.7,9.6,0.73,2.6,3.6,0.8,12.8,5,2.2,7.3,2,1.2,0.8,1.3,2.81
84,Alex Len,C,ATL,76,25,0.5,5.5,11,0.69,2.4,3.4,1.3,14.7,4.6,2.7,7.3,1.4,0.5,1.2,1.6,2.8
85,Ivica Zubac,C,LAC,68,24,0.53,4.1,7.7,0.78,2.3,3,0,10.5,6,2.5,8.5,1.6,0.4,1.1,1.6,2.71
86,Zach Collins,PF,POR,74,28,0.47,4.5,9.6,0.75,2,2.7,1.2,12.3,4.7,2.3,7,1.5,0.5,1.5,1.6,2.67
87,Gordon Hayward,SF,BOS,70,30,0.47,5.5,11.6,0.85,2.7,3.2,1.3,15.1,4.6,0.9,5.5,4.4,0.9,0.4,1.7,2.59
88,Jakob Poeltl,C,SAS,70,23,0.63,3.5,5.6,0.5,0.9,1.8,0,7.9,4.9,3.4,8.3,1.8,0.6,1.3,0.8,2.58
89,Josh Richardson,SG,PHI,75,32,0.45,4.9,11,0.85,2.6,3.1,2.3,14.8,2.8,0.7,3.5,2.8,1.4,0.9,1.4,2.51
90,Jamal Murray,PG,DEN,76,33,0.44,7.3,16.6,0.84,2.7,3.2,2.1,19.3,3.6,1,4.6,5.1,0.9,0.4,2.1,2.49
91,Kelly Oubre Jr.,SF,PHO,72,28,0.44,6.1,13.8,0.77,2.8,3.7,1.9,16.9,3.9,1.1,4.9,1.5,1.5,0.9,1.5,2.35
92,Terry Rozier,PG,CHA,78,32,0.41,6.5,15.7,0.75,1.3,1.8,2.2,16.6,5.2,0.6,5.8,5.1,1.3,0.4,1.8,2.25
93,Miles Bridges,PF,CHA,79,30,0.48,6.4,13.4,0.75,1.3,1.8,1.2,15.4,4.8,1.2,5.9,1.8,1,0.9,0.8,2.18
94,Ja Morant,PG,MEM,74,32,0.45,5.8,13,0.78,3.3,4.2,1.5,16.4,3.2,0.8,4,7.9,1.2,0.4,3.1,2.1
95,Jeremy Lamb,SG,IND,74,29,0.45,5.1,11.5,0.88,3.1,3.5,1.6,15,4.3,0.8,5.1,2.4,1.1,0.4,1,2.09
96,Marc Gasol,C,TOR,74,25,0.45,4.2,9.4,0.75,2.1,2.7,1.1,11.6,5.9,0.9,6.7,3.8,0.9,0.9,1,1.98
97,Delon Wright,PG,DAL,72,29,0.44,4.7,10.7,0.8,2.2,2.7,0.9,12.6,3.5,1.2,4.7,4.4,1.5,0.5,1.3,1.84
98,Ricky Rubio,PG,PHO,70,28,0.42,4.1,9.7,0.86,3.1,3.6,1.3,12.4,3.3,0.5,3.8,8.4,1.4,0.1,2.6,1.83
99,Rudy Gay,SF,SAS,66,26,0.48,5.2,11,0.79,1.7,2.1,1.1,13.3,6,0.9,7,2.7,0.8,0.5,1.6,1.55
100,Marcus Smart,PG,BOS,76,30,0.42,3.5,8.1,0.82,1.5,1.8,1.8,10.2,2.5,0.8,3.3,4.6,2,0.5,1.6,1.52
101,Caris LeVert,SF,BKN,68,30,0.45,6.7,14.9,0.72,2.5,3.5,1.5,17.4,3.4,1.1,4.5,4.6,1.3,0.6,1.9,1.41
102,Kenneth Faried,FA,HOU,60,22,0.59,4.9,8.4,0.63,2,3.2,0.2,12.1,4.8,3,7.9,0.6,0.6,0.7,1,1.35
103,Thaddeus Young,PF,CHI,74,26,0.53,4.9,9.2,0.65,1,1.5,0.5,11.3,3.6,2.1,5.8,2.2,1.3,0.4,1.3,1.29
104,Shai Gilgeous-Alexander,SG,OKC,78,30,0.48,5.7,12,0.81,2.4,2.9,1,14.8,2.5,0.8,3.3,4.4,1.4,0.6,1.9,1.25
105,Jusuf Nurkic,C,POR,18,24,0.48,3.9,8,0.68,3.2,4.7,0,10.9,6,2.1,8.2,2.7,0.9,1.1,2,1.21
106,Klay Thompson,SF,GSW,30,28,0.47,7.3,15.6,0.85,1.5,1.7,2.7,18.8,2.9,0.4,3.4,2.1,0.9,0.5,1.2,1.21
107,Dwight Powell,C,DAL,76,22,0.61,4.1,6.7,0.76,2.7,3.5,0.5,11.4,3.7,1.9,5.7,1.6,0.6,0.7,0.9,1.16
108,Dejounte Murray,PG,SAS,68,28,0.46,5.5,12,0.73,1.8,2.5,0.1,13,4.9,1.4,6.3,4,1.4,0.5,2.2,1.14
109,Nicolas Batum,SF,CHA,70,31,0.43,4.7,11,0.84,1,1.2,1.6,12.1,4.4,0.9,5.3,4.7,0.9,0.6,1.6,1.12
110,Bobby Portis,PF,NYK,64,26,0.44,5.2,11.7,0.79,1.6,2,1.4,13.4,5.6,1.8,7.4,1.5,0.7,0.4,1.5,1.12
111,Kelly Olynyk,C,MIA,78,26,0.47,4,8.5,0.83,2.3,2.7,1.7,11.9,4.5,1.1,5.6,2.1,0.8,0.6,1.6,1.03
112,Kyle Anderson,SF,MEM,70,28,0.55,3.5,6.3,0.7,0.9,1.3,0.2,8,4.6,1.1,5.7,3,1.2,0.9,1.2,0.96
113,Derrick White,SG,SAS,68,29,0.47,5,10.7,0.78,1.7,2.1,1,12.8,3.8,0.6,4.4,3.7,1.2,0.8,1.6,0.93
114,Danny Green,SF,LAL,74,28,0.47,3.9,8.4,0.84,0.5,0.6,2.7,11.1,3.4,0.8,4.2,1.7,0.9,0.7,0.9,0.8
115,JaMychal Green,PF,LAC,68,24,0.49,3.7,7.6,0.75,1.4,1.9,1.3,10.2,5.6,1.4,7,1,0.8,0.6,1.5,0.71
116,Brandon Clarke,PF,MEM,70,22,0.53,4.4,8.3,0.72,1.7,2.3,0.2,10.6,5,1,6,1.4,0.7,1.5,0.9,0.63
117,Willie Cauley-Stein,C,GSW,74,28,0.57,4.7,8.3,0.55,1.8,3.3,0,11.3,5.6,1.8,7.3,2.6,1.2,0.6,1,0.63
118,Gary Harris,SG,DEN,66,30,0.47,6.2,13.3,0.8,2.2,2.7,2,16.6,2.3,0.8,3.1,2.4,1.4,0.3,1.3,0.63
119,Tristan Thompson,C,CLE,70,22,0.54,3.9,7.3,0.64,1.3,2.1,0,9.2,5.1,3.3,8.4,1.7,0.5,0.3,1.1,0.48
120,Mikal Bridges,SF,PHO,78,31,0.45,3.6,8.1,0.82,1.3,1.6,1.5,10.1,3,0.8,3.7,2.3,1.7,0.6,0.9,0.43
121,Robert Williams,C,BOS,68,16,0.75,2.2,3,0.6,0.6,0.9,0,5,3.1,1.7,4.8,0.4,0.5,2.4,0.5,0.36
122,Justise Winslow,PG,MIA,70,31,0.44,5.4,12.4,0.62,1.4,2.3,1.6,13.9,4.8,1.1,5.9,4.7,1.1,0.3,2.3,0.24
123,Fred VanVleet,SG,TOR,70,29,0.43,5.6,13,0.84,1.7,2,2.5,15.4,2.5,0.3,2.9,5.3,0.9,0.3,1.4,0.23
124,TJ Warren,SF,IND,66,28,0.49,5.7,11.5,0.8,2.2,2.7,1.5,15.1,3.1,0.7,3.7,1.4,1.1,0.7,1.1,0.21
125,Nerlens Noel,C,OKC,78,16,0.59,2.6,4.4,0.7,0.9,1.2,0,6,3.2,2,5.2,0.7,1.1,1.5,0.7,0.21
126,Jerami Grant,PF,DEN,76,29,0.5,4.8,9.6,0.71,1.9,2.6,1.3,12.7,3.7,1.1,4.8,0.9,0.7,1.2,0.7,0.05
127,Kyle Kuzma,PF,LAL,76,31,0.46,7,15.2,0.75,2.7,3.5,1.8,18.5,4.5,0.9,5.4,2.5,0.6,0.4,1.8,0.02
128,Davis Bertans,PF,WAS,74,28,0.45,3.7,8.2,0.88,1,1.1,2.6,11,4.4,0.4,4.8,1.8,0.7,0.5,0.8,-0.04
129,Dario Saric,PF,PHO,72,26,0.44,4.2,9.4,0.85,1.8,2.1,1.6,11.7,4.5,1.6,6.1,1.7,0.6,0.1,1.2,-0.2
130,Meyers Leonard,PF,MIA,68,22,0.55,3.5,6.4,0.88,1.1,1.3,1.3,9.5,4.8,1.3,6.1,1.9,0.3,0.2,1.1,-0.27
131,Mason Plumlee,C,DEN,76,20,0.6,3.2,5.4,0.59,1.4,2.4,0,7.8,4.4,2,6.4,3,0.8,0.9,1.4,-0.42
132,Terrence Ross,SG,ORL,74,26,0.43,5.6,13.1,0.89,1.7,1.9,2.8,15.6,3.2,0.3,3.5,1.8,0.9,0.4,1.1,-0.44
133,Patrick Beverley,PG,LAC,75,30,0.42,2.9,6.8,0.75,1.4,1.8,1.6,8.8,3.1,1.1,4.1,4.3,1,0.7,1.2,-0.44
134,Jarrett Culver,SG,MIN,72,28,0.44,4.4,10.1,0.72,2.6,3.6,1.5,12.9,4,1,5.1,3.2,1.3,0.3,1.8,-0.48
135,RJ Barrett,SG,NYK,72,30,0.44,5.5,12.6,0.72,3.3,4.5,2.1,16.4,4.3,1.1,5.3,3.3,0.8,0.3,2,-0.52
136,Jeff Teague,PG,MIN,68,30,0.43,4.4,10.4,0.81,3,3.8,0.8,12.7,2.2,0.4,2.6,8.6,1,0.4,2.3,-0.55
137,Brandon Ingram,SF,NOR,60,31,0.49,6.6,13.4,0.68,3.7,5.4,0.6,17.4,4.5,0.9,5.4,3.3,0.8,0.9,2.3,-0.55
138,Kevin Huerter,SG,ATL,76,29,0.43,5.4,12.5,0.74,0.6,0.8,2.4,13.8,2.8,0.9,3.7,3.2,1.1,0.3,1.6,-0.56
139,Andrew Wiggins,SF,MIN,70,32,0.44,6.6,14.8,0.72,2.7,3.8,1.5,17.5,3.6,1.1,4.6,2.4,0.9,0.7,1.7,-0.57
140,Lou Williams,PG,LAC,76,26,0.44,5.5,12.5,0.88,4.9,5.6,1.4,17.4,2.5,0.5,3,3.9,0.7,0.1,2.3,-0.61
141,Boban Marjanovic,C,DAL,60,14,0.63,3.5,5.5,0.79,2.2,2.8,0.1,9.3,3.9,1.9,5.8,1.2,0.3,0.6,1.3,-0.62
142,Kent Bazemore,SF,POR,70,28,0.42,4.8,11.4,0.73,2.1,2.9,1.7,13.3,3.7,0.7,4.3,2.5,1.4,0.7,1.9,-0.64
143,PJ Tucker,PF,HOU,80,30,0.39,2.3,5.9,0.72,0.5,0.6,1.7,6.8,4.1,1.4,5.4,1.1,1.4,0.5,0.7,-0.67
144,Taurean Prince,PF,BKN,76,28,0.45,5,11.3,0.81,1.8,2.2,2.3,14.1,3.5,0.4,4,2.2,1,0.3,1.8,-0.68
145,Rodions Kurucs,PF,BKN,76,26,0.46,4.8,10.4,0.79,1.5,1.9,1.4,12.4,3.8,1.2,5,1,0.9,0.6,1.5,-0.72
146,Joe Harris,SG,BKN,76,30,0.49,5.1,10.5,0.78,1.5,1.9,2.5,14.2,3.2,0.7,4,2.5,0.5,0.2,1.6,-0.76
147,Joe Ingles,SF,UTA,80,28,0.45,4.2,9.2,0.74,1,1.4,2.2,11.5,3.4,0.4,3.8,4.7,1.1,0.2,2.1,-0.77
148,Harrison Barnes,SF,SAC,74,32,0.42,5.7,13.6,0.84,3.1,3.7,2.4,16.9,4,0.7,4.7,1.5,0.6,0.2,1.3,-0.8
149,De'Andre Hunter,SF,ATL,72,30,0.46,4.1,8.9,0.75,2.4,3.2,1.6,12.1,3.7,0.9,4.6,2.2,1.1,0.3,1.3,-0.84
150,Bojan Bogdanovic,PF,UTA,78,30,0.48,5.4,11.1,0.79,3,3.8,2,15.7,3.7,0.4,4.1,2,0.8,0,1.6,-0.88
151,Troy Brown,SG,WAS,68,28,0.44,4.5,10.2,0.72,1.4,1.9,0.9,11.3,4.5,1.5,6,3.2,0.9,0.2,1.3,-0.9
152,Michael Kidd-Gilchrist,SF,CHA,72,24,0.48,3.4,7.1,0.79,2.1,2.6,0.4,9.4,3.4,1.9,5.3,1.4,0.7,0.8,0.9,-0.9
153,Alfonzo McKinnie,SF,GSW,72,26,0.5,3.7,7.5,0.57,0.8,1.4,1.2,9.5,4.5,2.2,6.7,0.8,0.6,0.4,0.7,-1.01
154,Marvin Williams,PF,CHA,75,25,0.43,3.4,8,0.82,0.8,1,1.8,9.5,4.1,0.9,5,1.1,0.8,0.7,0.5,-1.03
155,Jaylen Brown,SG,BOS,72,29,0.47,5.9,12.6,0.67,2.1,3.2,1.5,15.5,3.9,1.1,4.9,1.6,1,0.5,1.5,-1.03
156,Tomas Satoransky,PG,CHI,76,26,0.47,4.3,9,0.8,1.6,2,0.8,10.9,2.5,1,3.5,5.1,1,0.2,1.4,-1.15
157,Goran Dragic,PG,MIA,66,28,0.45,5.4,12,0.79,2.4,3,1.7,14.8,2.7,0.6,3.3,5.1,0.8,0.1,2,-1.24
158,Cedi Osman,SF,CLE,76,32,0.44,4.9,11.1,0.78,2,2.6,1.8,13.6,4.3,0.6,4.9,2.7,0.8,0.1,1.5,-1.25
159,Collin Sexton,PG,CLE,80,33,0.44,6.9,15.6,0.84,2.8,3.4,1.8,18.5,2.4,0.8,3.2,4.2,0.5,0.1,2.4,-1.38
160,Bogdan Bogdanovic,SG,SAC,74,26,0.43,4.7,10.9,0.83,1.9,2.3,1.9,13.1,2.8,0.6,3.4,3.7,0.9,0.2,1.6,-1.44
161,Evan Fournier,SG,ORL,78,31,0.44,6,13.6,0.81,1.8,2.2,2,15.8,2.8,0.5,3.3,3.7,0.9,0.1,1.9,-1.45
162,James Johnson,PF,MIA,70,28,0.46,4.2,9.1,0.7,1.3,1.8,1.3,10.9,3.9,0.6,4.4,3.5,0.8,0.7,1.7,-1.57
163,Rui Hachimura,SF,WAS,72,28,0.47,5,10.5,0.73,2.4,3.3,0.5,12.8,4.3,1,5.3,1.6,0.9,0.7,1.4,-1.59
164,Gorgui Dieng,C,MIN,76,16,0.5,3.1,6.2,0.86,1.5,1.7,0.4,8.1,3.7,1.4,5.1,1.1,0.7,0.6,0.9,-1.61
165,Mohamed Bamba,C,ORL,60,18,0.48,2.9,6,0.62,0.9,1.5,0.5,7.2,4.2,1.6,5.8,0.9,0.3,1.6,1,-1.65
166,DJ Augustin,PG,ORL,78,28,0.47,4.1,8.8,0.85,2.3,2.7,1.7,12.2,2.1,0.5,2.6,5.6,0.6,0,1.6,-1.65
167,JJ Redick,SG,NOR,72,27,0.44,4.9,11.1,0.9,2.7,3,3,15.5,2,0.3,2.3,2.4,0.3,0.2,1.1,-1.67
168,Al-Farouq Aminu,PF,ORL,70,23,0.44,2.7,6.2,0.78,1.6,2.1,1,8.1,5.2,1.2,6.4,1.1,0.7,0.3,0.7,-1.7
169,Ed Davis,C,UTA,72,16,0.62,2.2,3.5,0.6,1.1,1.9,0,5.5,5.5,2.5,8.1,0.8,0.4,0.4,0.7,-1.75
170,Darius Garland,SG,CLE,70,30,0.45,5.2,11.4,0.78,2.8,3.5,2.1,15.1,2.9,0.7,3.6,2.9,0.8,0.1,2.3,-1.81
171,Tim Hardaway Jr.,SG,DAL,66,28,0.41,5.6,13.6,0.86,3.4,3.9,2.3,16.9,2.7,0.5,3.2,2.2,0.7,0.1,1.4,-1.85
172,OG Anunoby,SF,TOR,70,28,0.46,4.3,9.5,0.63,0.8,1.3,1.5,11,3.1,1.3,4.4,1,1.2,0.4,1.1,-1.88
173,Maurice Harkless,SF,LAC,66,23,0.48,3.3,6.8,0.69,0.8,1.2,0.9,8.2,3.2,1.3,4.5,1.2,0.9,0.8,0.8,-1.94
174,Elfrid Payton,PG,NYK,70,26,0.44,4,9,0.73,1.2,1.6,0.7,9.8,3.5,0.7,4.2,6,0.9,0.4,2.4,-1.98
175,Maxi Kleber,PF,DAL,70,20,0.47,2.5,5.3,0.8,0.8,1,1.1,6.9,3.4,1.3,4.7,1,0.5,1.1,0.8,-2.02
176,Moritz Wagner,PF,WAS,74,24,0.43,4.1,9.7,0.84,2.4,2.9,1.2,11.9,3.9,1,4.8,1.5,0.5,0.7,2.1,-2.07
177,Reggie Jackson,PG,DET,74,26,0.42,5.3,12.5,0.87,2.5,2.8,2.1,15.1,2.1,0.5,2.5,4.1,0.7,0.1,1.7,-2.17
178,Aron Baynes,C,PHO,68,18,0.48,2.5,5.2,0.84,1.2,1.4,0.5,6.6,3.5,2,5.5,1.3,0.2,0.8,0.9,-2.18
179,Spencer Dinwiddie,PG,BKN,72,26,0.45,4.8,10.8,0.8,4.1,5.1,1.8,15.5,2,0.4,2.4,4.5,0.6,0.3,2,-2.18
180,Goga Bitadze,C,IND,72,22,0.48,3.7,7.6,0.66,2.1,3.2,0.3,9.8,5.3,0.9,6.1,1.2,0.6,1.2,1.6,-2.26
181,Derrick Rose,PG,DET,56,26,0.44,5.4,12.3,0.88,2.7,3.1,1.1,14.7,2.1,0.6,2.7,4.3,0.6,0.2,1.5,-2.3
182,Eric Gordon,SG,HOU,70,30,0.43,5.6,13,0.82,1.8,2.2,3.2,16.2,1.9,0.3,2.2,1.9,0.6,0.4,1.2,-2.31
183,Malik Monk,SG,CHA,74,26,0.41,4.6,11.2,0.86,1.9,2.2,2.4,13.4,2.5,0.3,2.9,2.5,0.8,0.5,1.8,-2.33
184,Ante Zizic,C,CLE,66,20,0.56,3.6,6.4,0.73,1.8,2.5,0,9,4.1,2.1,6.2,1,0.2,0.5,1.2,-2.38
185,Willy Hernangomez,C,CHA,59,16,0.51,3.1,6.1,0.68,2.1,3,0.4,8.7,4,2.4,6.4,1.2,0.3,0.5,1.1,-2.49
186,Seth Curry,SG,DAL,72,28,0.46,4.5,9.8,0.86,0.9,1.1,2.3,12.3,2,0.6,2.6,1.4,0.7,0.3,1.2,-2.49
187,Daniel Theis,PF,BOS,60,18,0.55,3,5.5,0.67,1.1,1.6,0.5,7.7,2.9,1.8,4.7,1.4,0.4,0.8,0.7,-2.53
188,Will Barton,SF,DEN,60,28,0.4,4.6,11.4,0.77,1.4,1.8,1.7,12.3,4.1,0.7,4.9,3.1,0.4,0.5,1.5,-2.54
189,Bruce Brown Jr.,SF,DET,76,26,0.43,4.5,10.5,0.75,0.8,1.1,0.5,10.5,3.2,0.8,4,2.1,1.1,0.7,0.8,-2.57
190,Coby White,PG,CHI,70,26,0.44,3.9,8.9,0.79,2.5,3.2,1.5,11.8,2.3,0.6,2.8,3.2,1.1,0.2,1.6,-2.57
191,Jeff Green,PF,UTA,76,22,0.47,3.6,7.6,0.89,2,2.3,1.2,10.4,2.8,0.7,3.5,1.5,0.5,0.4,1.1,-2.72
192,Derrick Jones Jr.,SF,MIA,64,20,0.5,3,5.9,0.68,1.5,2.2,0.6,8,2.6,1.8,4.4,0.7,0.9,0.8,0.8,-2.79
193,Jordan Bell,PF,MIN,68,18,0.54,2.5,4.6,0.67,0.7,1,0,5.6,3.1,1.3,4.4,1.8,0.5,1.3,0.9,-2.81
194,Dennis Schroder,PG,OKC,76,26,0.42,5.4,13,0.83,2.2,2.7,1.5,14.6,2.9,0.5,3.4,3.8,0.7,0.2,2,-2.83
195,Rajon Rondo,PG,LAL,66,22,0.43,3,6.9,0.63,0.4,0.6,0.9,7.2,3.5,0.5,4,6.2,0.9,0.2,2.1,-2.83
196,Jabari Parker,PF,ATL,66,20,0.5,4.5,9.1,0.69,1.6,2.3,0.8,11.5,4.1,0.9,5.1,1.9,0.5,0.4,1.8,-2.83
197,Wesley Matthews,SG,MIL,66,28,0.44,4.9,11.1,0.8,1.9,2.3,2.4,14.1,1.9,0.5,2.4,2.2,0.7,0.2,1.2,-2.83
198,Harry Giles,C,SAC,63,18,0.5,4.2,8.4,0.65,1.4,2.2,0,9.8,3.8,1.5,5.3,2.1,0.7,0.6,1.8,-2.88
199,Jahlil Okafor,C,NOR,40,16,0.59,3.8,6.5,0.67,1.1,1.6,0,8.8,3.5,1.5,5,0.7,0.3,0.7,0.9,-2.9
200,Bruno Fernando,C,ATL,66,18,0.53,2.6,5,0.75,1.4,1.8,0.2,6.8,4.4,1.1,5.5,1.2,0.5,0.8,1.2,-2.91
201,Trevor Ariza,SF,SAC,66,24,0.4,3.2,7.9,0.8,1.4,1.8,1.6,9.4,3.5,0.5,4,2.7,0.9,0.2,1.1,-2.95
202,Monte Morris,PG,DEN,76,24,0.49,4.4,9,0.8,0.8,1.1,1.2,10.9,2,0.4,2.4,3.8,0.9,0,0.6,-2.99
203,Kyle O'Quinn,C,PHI,60,14,0.5,2.7,5.4,0.8,0.7,0.9,0,6.1,3.6,1.1,4.7,2.2,0.3,1.1,1.2,-3.03
204,Andre Roberson,SF,OKC,67,26,0.48,2.8,5.8,0.3,0.3,1,0.2,6.1,2.9,2,4.8,1.2,1.2,0.9,0.8,-3.04
205,Tyus Jones,PG,MEM,74,24,0.44,3.2,7.3,0.9,1,1.1,0.7,8,1.8,0.3,2.1,5.1,1.3,0.1,0.7,-3.09
206,Josh Jackson,SF,MEM,78,26,0.42,4.8,11.5,0.67,2,2.9,1,12.5,3.9,0.9,4.8,2.5,0.9,0.8,2.3,-3.1
207,Noah Vonleh,PF,MIN,70,18,0.46,2.3,4.9,0.7,1.2,1.7,0.5,6.2,4.6,1.3,5.8,1.4,0.5,0.6,0.9,-3.19
208,Taj Gibson,C,NYK,66,16,0.56,3,5.4,0.76,1.3,1.7,0.1,7.5,2.9,1.7,4.6,0.8,0.5,0.4,0.7,-3.19
209,George Hill,PG,MIL,64,24,0.45,3.3,7.3,0.86,1.4,1.6,1.1,9.1,2.1,0.8,2.9,2.7,1,0.1,1,-3.21
210,Norman Powell,SG,TOR,68,23,0.48,4.1,8.6,0.77,1.3,1.7,1.4,11,2.7,0.4,3.1,1.9,0.9,0.3,1.3,-3.25
211,Robin Lopez,C,MIL,70,20,0.57,4,7,0.71,1.2,1.6,0.1,9.2,1.9,1.8,3.8,1.2,0.1,1.1,1.2,-3.26
212,Kevin Knox,SF,NYK,76,28,0.42,5.3,12.5,0.74,2.3,3.1,1.7,14.5,3.8,0.9,4.7,1.1,0.6,0.3,1.5,-3.28
213,Kris Dunn,PG,CHI,60,22,0.43,3.6,8.4,0.8,0.9,1.1,0.5,8.7,2.8,0.3,3.1,4.6,1.1,0.4,1.7,-3.28
214,Dorian Finney-Smith,PF,DAL,76,22,0.43,2.7,6.1,0.7,0.9,1.2,0.9,7.1,2.9,1.6,4.5,1.1,0.8,0.5,0.8,-3.4
215,Ish Smith,PG,WAS,74,28,0.43,4.9,11.3,0.73,1.1,1.5,1.1,11.9,2.9,0.5,3.4,4.7,0.6,0.3,1.4,-3.4
216,Dylan Windler,SF,CLE,60,18,0.47,2.4,5.1,0.79,1.5,1.9,1,7.4,3.7,0.9,4.6,1.3,0.6,0.3,0.9,-3.42
217,Dillon Brooks,SG,MEM,70,28,0.45,5.4,12,0.75,1.9,2.6,1.3,13.9,2.5,0.8,3.3,1.4,1,0.2,1.7,-3.46
218,Kentavious Caldwell-Pope,SG,LAL,70,22,0.44,3.7,8.6,0.9,1.6,1.8,1.7,10.8,2.1,0.6,2.7,1.2,0.8,0.2,0.7,-3.54
219,Jordan Clarkson,SG,CLE,76,22,0.45,5.5,12.4,0.84,1.7,2,1.5,14.3,1.9,0.8,2.8,2,0.6,0.2,1.4,-3.55
220,Cory Joseph,PG,SAC,78,24,0.42,2.8,6.7,0.8,0.4,0.5,0.7,6.7,2.9,0.5,3.4,3.9,1,0.3,1,-3.58
221,Tyler Herro,SG,MIA,70,22,0.44,3.9,8.7,0.82,1.6,1.9,1.6,10.9,2.4,0.6,3,1.7,0.7,0.3,1,-3.62
