Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FG-,3PTM,FTM,FT-,PTS,OREB,DREB,AST,ST,BLK,TO
Matt Barnes,(N/A),"SG,SF,Flx",527,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Andre Barrett,(N/A),"PG,Flx",528,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Blakeney,(N/A),"PG,Flx",529,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Lydon,(N/A),"PF,Flx",530,PHI,PHI,,0,0,1%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Jonathon Simmons,(N/A),"SG,SF,Flx",531,NOP,NOP,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Sindarius Thornwell,(N/A),"SG,Flx",532,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Acy,PHO,"SF,PF,Flx",533,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Austin,(N/A),"C,Flx",534,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nene Hilario,HOU,"PF,C,Flx",535,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Arnoldas Kulboka,CHA,"SF,Flx",536,FA,FA,,0,0,1%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Edwards,(N/A),"SF,Flx",537,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Shelvin Mack,(N/A),"PG,Flx",538,DEN,DEN,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Selden Jr.,(N/A),"SG,Flx",539,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ray Spalding,(N/A),"PF,Flx",540,IND,IND,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Guerschon Yabusele,(N/A),"SF,PF,Flx",541,NOP,NOP,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Wade Baldwin IV,IND,"PG,Flx",542,PHI,PHI,,0,0,1%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
MarShon Brooks,CHI,"SG,SF,Flx",543,FA,FA,,0,0,1%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Adams,(N/A),"PG,Flx",544,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Devin Harris,(N/A),"PG,SG,Flx",545,MIN,MIN,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jaron Blossomgame,(N/A),"SF,Flx",546,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ian Clark,(N/A),"PG,SG,Flx",547,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Greg Monroe,(N/A),"PF,C,Flx",548,CHA,CHA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Alex Poythress,(N/A),"SF,Flx",549,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Devin Robinson,(N/A),"SG,SF,Flx",550,MEM,MEM,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ike Anigbogu,IND,"C,Flx",551,CHA,CHA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Michael Frazier,HOU,"SG,Flx",552,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Askia Booker,(N/A),"SG,Flx",553,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Arron Afflalo,(N/A),"SG,SF,Flx",554,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marques Bolden,(N/A),"C,Flx",555,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Dante Cunningham,(N/A),"SF,PF,Flx",556,CHA,CHA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Trevon Duval,(N/A),"PG,Flx",557,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jawun Evans,(N/A),"PG,Flx",558,CLE,CLE,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mathias Lessort,(N/A),"PF,Flx",559,UTH,UTH,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jarell Martin,(N/A),"PF,C,Flx",560,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Davon Reed,(N/A),"SG,Flx",561,CLE,CLE,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandar Vezenkov,(N/A),"PF,Flx",562,CHI,CHI,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Michael Beasley,(N/A),"SF,PF,Flx",563,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Jemerrio Jones,(N/A),"SG,Flx",564,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nik Stauskas,(N/A),"SG,SF,Flx",565,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Omer Asik,CHI,"PF,C,Flx",566,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Joel Berry II,LAL,"PG,Flx",567,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Briscoe,ORL,"PG,Flx",568,CHI,CHI,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Louis King,DET,"PF,Flx",569,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Malik Newman,MIA,"PG,Flx",570,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Chinanu Onuaku,POR,"PF,C,Flx",571,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kobi Simmons,CHA,"SG,Flx",572,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mamadou N'Diaye,(N/A),"C,Flx",573,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
David Michineau,LAC,"PG,Flx",574,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Deng Adel,(N/A),"C,Flx",575,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Rawle Alkins,(N/A),"SG,Flx",576,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Dairis Bertans,(N/A),"SG,Flx",577,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Caroline,(N/A),"SF,Flx",578,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Deyonta Davis,(N/A),"PF,Flx",579,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Angel Delgado,(N/A),"C,Flx",580,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Vanja Marinkovic,(N/A),"SG,SF,Flx",581,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Zaza Pachulia,(N/A),"C,Flx",582,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
J.R. Smith,(N/A),"SG,SF,Flx",583,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Troy Williams,(N/A),"SG,SF,Flx",584,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Canaan,MIL,"PG,Flx",585,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tony Carr,NO,"PG,Flx",586,DET,DET,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Omri Casspi,MEM,"SF,PF,Flx",587,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marcin Gortat,LAC,"C,Flx",588,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Alpha Kaba,ATL,"PF,Flx",589,CHI,CHI,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Adam Mokoka,CHI,"SG,Flx",590,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Oliver,POR,"SF,Flx",591,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Robert Carter Jr.,(N/A),"PF,Flx",592,NOP,NOP,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Jeanne,(N/A),"C,Flx",593,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Borisa Simanic,(N/A),"PF,Flx",594,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ray Smith,(N/A),"SF,Flx",595,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Scott Suggs,TOR,"SG,Flx",596,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
lex Abrines,(N/A),"SG,SF,Flx",597,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Cole Aldrich,(N/A),"C,Flx",598,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
James Augustine,(N/A),"SF,PF,C,Flx",599,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jerryd Bayless,(N/A),"PG,SG,Flx",600,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Javon Bess,(N/A),"SG,Flx",601,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Sam Dekker,(N/A),"SF,PF,Flx",602,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Dorsey,(N/A),"PG,Flx",603,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Harrison,(N/A),"PG,SG,Flx",604,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kosta Koufos,(N/A),"PF,C,Flx",605,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jon Leuer,(N/A),"PF,C,Flx",606,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Brandon McCoy,(N/A),"C,Flx",607,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ekpe Udoh,(N/A),"PF,C,Flx",608,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Johnathan Williams,(N/A),"PF,Flx",609,FA,FA,,0,0,0%,-0.10%,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Zeller,(N/A),"PF,C,Flx",610,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ron Baker,WAS,"PG,SG,Flx",611,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Barford,CHA,"PG,Flx",612,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Justin Bibbs,LAC,"SG,Flx",613,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Cody Demps,SAC,"SG,Flx",614,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kay Felder,TOR,"PG,Flx",615,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Robert Franks,CHA,"SF,Flx",616,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Wesley Johnson,WAS,"SG,SF,Flx",617,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Zhou Qi,HOU,"PF,Flx",618,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
KT Harrell,(N/A),"SG,Flx",619,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Michalis Kamperidis,(N/A),"SF,Flx",620,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Ray Parks Jr.,(N/A),"SG,Flx",621,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Malik Pope,(N/A),"SF,Flx",622,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nik Slavica,(N/A),"SF,Flx",623,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jarvis Threatt,(N/A),"PG,Flx",624,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Byron Wesley,(N/A),"SG,Flx",625,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Adams,(N/A),"SG,Flx",626,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Ager,(N/A),"SG,SF,Flx",627,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Ajinca,(N/A),"PF,C,Flx",628,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Deji Akindele,(N/A),"C,Flx",629,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Cliff Alexander,(N/A),"PF,Flx",630,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Alford,(N/A),"PG,Flx",631,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tony Allen,(N/A),"SG,SF,Flx",632,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Louis Amundson,(N/A),"PF,Flx",633,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Gilbert Arenas,(N/A),"PG,Flx",634,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Hilton Armstrong,(N/A),"PF,C,Flx",635,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Cyril Awere,(N/A),"C,Flx",636,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Bargnani,(N/A),"PF,C,Flx",637,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Esteban Batista,(N/A),"C,Flx",638,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mike Bibby,(N/A),"PG,Flx",639,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Andris Biedrins,(N/A),"C,Flx",640,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tyrell Biggs,(N/A),"SF,PF,Flx",641,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jabari Bird,(N/A),"SG,Flx",642,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marqus Blakely,(N/A),"SF,Flx",643,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Keljin Blevins,(N/A),"PG,Flx",644,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Corey Brewer,(N/A),"SG,SF,Flx",645,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Barry Brown Jr.,(N/A),"PG,Flx",646,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Troy Caupain,(N/A),"SG,Flx",647,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Cavanaugh,(N/A),"PF,C,Flx",648,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Bonzie Colson,(N/A),"SF,Flx",649,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Cousins,(N/A),"SG,Flx",650,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Luol Deng,(N/A),"SF,PF,Flx",651,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Raymond Felton,(N/A),"PG,SG,Flx",652,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Amir Johnson,(N/A),"PF,C,Flx",653,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Jones,(N/A),"SG,SF,Flx",654,HOU,HOU,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Sagaba Konate,(N/A),"SF,Flx",655,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Dedric Lawson,(N/A),"SF,PF,Flx",656,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Luke Maye,(N/A),"PF,Flx",657,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Salah Mejri,(N/A),"C,Flx",658,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Miles Plumlee,(N/A),"PF,C,Flx",659,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Pondexter,(N/A),"SG,SF,Flx",660,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Sampson,(N/A),"PG,Flx",661,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Simi Shittu,(N/A),"C,Flx",662,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Justin Simon,(N/A),"SG,Flx",663,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Taylor,(N/A),"PG,Flx",664,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Lance Thomas,(N/A),"SG,SF,Flx",665,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Welsh,(N/A),"C,Flx",666,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Alan Williams,(N/A),"PF,C,Flx",667,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Williams,(N/A),"SG,Flx",668,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kenny Wooten,(N/A),"PF,Flx",669,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Furkan Aldemir,PHI,"PF,Flx",670,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Darrell Arthur,PHO,"PF,C,Flx",671,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jamel Artis,SAC,"SF,Flx",672,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Bairstow,DET,"PF,C,Flx",673,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Renaldo Balkman,DAL,"SF,PF,Flx",674,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jerrelle Benimon,UTA,"PF,Flx",675,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ben Bentil,DAL,"SF,PF,Flx",676,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Sim Bhullar,SAC,"C,Flx",677,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Joel Bolomboy,MIL,"PF,Flx",678,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Gian Clavell,DAL,"PG,Flx",679,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Amir Coffey,LAC,"SF,Flx",680,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Davis,OKC,"C,Flx",681,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tiny Gallon,MIL,"PF,Flx",682,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Olivier Hanlan,SA,"PG,Flx",683,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Mike James,NO,"PG,Flx",684,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Brice Johnson,MEM,"PF,Flx",685,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Luc Richard Mbah a Moute,LAC,"SF,PF,Flx",686,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Billy Preston,CLE,"SF,PF,Flx",687,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Radicevic,DEN,"PG,Flx",688,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Xavier Rathan-Mayes,MEM,"PG,Flx",689,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Willie Reed,CHI,"PF,C,Flx",690,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Reynolds,MIL,"SF,Flx",691,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Malachi Richardson,PHI,"SG,Flx",692,DET,DET,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jameel Warney,DAL,"SF,Flx",693,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Julian Washburn,GS,"SF,Flx",694,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jamil Wilson,LAC,"PF,Flx",695,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Derrick Marks,(N/A),"SG,Flx",696,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Adrien,(N/A),"SF,PF,Flx",697,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Josh Akognon,(N/A),"PG,SG,Flx",698,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
DeVaughn Akoon-Purcell,(N/A),"PG,Flx",699,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Joe Alexander,(N/A),"SF,Flx",700,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Lavoy Allen,(N/A),"PF,C,Flx",701,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Allen,(N/A),"PG,Flx",702,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Allen,(N/A),"PG,SG,Flx",703,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Alan Anderson,(N/A),"SG,SF,Flx",704,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jake Anderson,(N/A),"PG,Flx",705,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Andrews,(N/A),"PG,Flx",706,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Joel Anthony,(N/A),"PF,C,Flx",707,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Pero Antic,(N/A),"C,Flx",708,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Keith Appling,(N/A),"PG,Flx",709,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Ashley,(N/A),"PF,Flx",710,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Connor Atchley,(N/A),"PF,C,Flx",711,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Chucky Atkins,(N/A),"PG,Flx",712,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Eric Atkins,(N/A),"PG,Flx",713,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Zach Auguste,(N/A),"PF,Flx",714,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Avila,(N/A),"SF,Flx",715,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Gustavo Ayon,(N/A),"PF,C,Flx",716,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Ayres,(N/A),"PF,C,Flx",717,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Bachynski,(N/A),"C,Flx",718,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Gracin Bakumanya,(N/A),"C,Flx",719,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Barber,(N/A),"PG,Flx",720,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Barbosa,(N/A),"PG,SG,Flx",721,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Kadeem Batts,(N/A),"PF,Flx",722,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
V.J. Beachem,(N/A),"SF,Flx",723,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Bennett,(N/A),"SF,PF,Flx",724,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tarik Black,(N/A),"PF,C,Flx",725,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
James Blackmon Jr.,(N/A),"SG,Flx",726,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Vander Blue,LAL,"PG,Flx",727,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Bogut,(N/A),"C,Flx",728,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Tim Bond,HOU,"SG,Flx",729,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Bowen,OKC,"SF,Flx",730,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Ronnie Brewer,(N/A),"SG,SF,Flx",731,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Amida Brimah,(N/A),"C,Flx",732,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Armoni Brooks,(N/A),"PG,Flx",733,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Alec Brown,(N/A),"C,Flx",734,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Bobby Brown,(N/A),"PG,SG,Flx",735,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Brown,(N/A),"PG,Flx",736,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Jabari Brown,MIL,"SG,Flx",737,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
Shannon Brown,(N/A),"SG,Flx",738,FA,FA,,0,0,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0
