Player,Team,Position,Rk,Status,Trade,Opponent,FPts,FP/G,% Owned,+/-,GP,FG-,3PTM,FTM,FT-,PTS,OREB,DREB,AST,ST,BLK,TO
Derrick Walton Jr.,LAC,"PG,Flx",371,FA,FA,,72.75,4.85,1%,-0.80%,15,11,6,6,1,34,2,8,17,4,0,3
Tyrone Wallace,(N/A),"PG,SG,Flx",372,POR,POR,,71.25,5.09,2%,-0.50%,14,30,1,11,6,40,3,19,13,7,1,10
DeMarre Carroll,SA,"SF,PF,Flx",373,NYK,NYK,,68,5.23,13%,0%,13,19,3,11,7,32,7,23,10,2,2,10
Edmond Sumner,IND,"PG,Flx",374,ORL,ORL,,68,8.5,6%,-0.40%,8,21,3,4,3,33,5,6,17,5,2,5
Brandon Knight,CLE,"PG,SG,Flx",375,FA,FA,,67.5,6.75,3%,-0.10%,10,31,12,3,5,47,1,7,16,4,1,8
Deandre Ayton,PHO,"C,Flx",376,SAS,SAS,,67.25,33.62,99%,0%,2,15,0,0,1,36,10,13,3,1,5,2
Nicolas Claxton,BKN,"C,Flx",377,NYK,NYK,,65.25,7.25,11%,-0.10%,9,10,0,5,7,27,8,14,11,1,5,6
Ante Zizic,CLE,"C,Flx",378,NYK,NYK,,63,7,11%,-0.20%,9,13,0,5,1,37,7,16,0,2,2,1
Kelan Martin,MIN,"SG,Flx",379,PHI,PHI,,61.5,6.15,3%,0%,10,32,7,0,0,43,2,24,3,2,1,5
Jacob Evans III,GS,"SG,Flx",380,MIA,MIA,,60.75,6.08,8%,-0.70%,10,36,6,11,1,43,2,9,9,2,4,8
Rodions Kurucs,BKN,"SF,PF,Flx",381,HOU,HOU,,60,4.29,16%,-0.20%,14,19,4,3,5,33,7,26,4,6,1,15
Deonte Burton,OKC,"SF,Flx",382,MIN,MIN,,58.5,4.18,2%,-0.10%,14,24,5,3,1,36,3,18,4,1,3,4
Kevon Looney,GS,"PF,C,Flx",383,UTH,UTH,,57.25,5.72,42%,-2.70%,10,21,1,3,2,26,15,14,4,3,2,6
Jordan McLaughlin,MIN,"PG,Flx",384,FA,FA,,54.75,10.95,1%,-0.20%,5,17,4,4,0,30,1,8,12,4,0,4
Norvel Pelle,PHI,"C,Flx",385,FA,FA,,53,7.57,5%,-0.50%,7,3,0,4,2,16,4,15,4,0,9,6
Anzejs Pasecniks,WAS,"C,Flx",386,FA,FA,,50.25,12.56,8%,-0.30%,4,10,0,8,4,34,7,10,3,0,0,3
Guillermo Hernangomez,CHA,"C,Flx",387,HOU,HOU,,49.75,4.52,10%,-0.50%,11,15,2,4,4,26,9,14,3,1,3,6
Ryan Broekhoff,DAL,"SF,Flx",388,FA,FA,,47.75,5.97,2%,-0.10%,8,11,8,5,1,31,0,11,4,1,0,2
Zach Collins,POR,"PF,C,Flx",389,POR,POR,,46.5,15.5,46%,-0.50%,3,10,3,6,0,27,4,8,6,0,2,6
Chimezie Metu,SA,"PF,Flx",390,POR,POR,,46.5,5.17,3%,-0.10%,9,9,0,2,2,24,8,8,2,1,3,1
Garrison Mathews,WAS,"SG,Flx",391,FA,FA,,46.25,5.78,1%,0%,8,10,6,6,1,26,4,7,5,1,1,3
